period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-06T12,0.03%,75.88%,0.53%,5.44%,18.12%,19.98,22.72
2023-01-06T13,0.02%,73.45%,0.52%,5.37%,20.64%,19.37,22.04
2023-01-06T14,0.02%,68.78%,0.48%,4.97%,25.76%,18.09,20.56
2023-01-06T15,0.02%,62.61%,0.46%,4.75%,32.16%,16.64,18.97
2023-01-06T16,0.02%,59.61%,0.43%,4.52%,35.42%,15.83,18.04
2023-01-06T17,0.01%,50.92%,0.40%,4.19%,44.47%,13.79,15.79
2023-01-06T18,0.01%,43.76%,0.40%,4.18%,51.64%,12.30,14.21
2023-01-06T19,0.01%,42.77%,0.41%,4.22%,52.59%,12.14,14.05
2023-01-06T20,0.01%,46.32%,0.41%,4.33%,48.93%,12.91,14.89
2023-01-06T21,0.02%,44.87%,0.42%,4.31%,50.39%,12.64,14.61
2023-01-06T22,0.01%,44.20%,0.41%,4.23%,51.15%,12.44,14.38
2023-01-06T23,0.01%,44.08%,0.40%,4.13%,51.38%,12.37,14.29
2023-01-07T00,0.02%,48.43%,0.42%,4.54%,46.60%,13.41,15.43
2023-01-07T01,0.01%,62.27%,0.45%,5.34%,31.93%,16.55,18.86
2023-01-07T02,0.01%,65.44%,0.43%,5.73%,28.39%,17.02,19.30
2023-01-07T03,0.01%,64.08%,0.43%,6.46%,29.02%,16.71,18.96
2023-01-07T04,0.02%,64.62%,0.43%,7.32%,27.61%,16.88,19.16
2023-01-07T05,0.02%,64.91%,0.45%,8.11%,26.52%,17.09,19.44
2023-01-07T06,0.02%,66.78%,0.46%,8.48%,24.27%,17.56,19.96
2023-01-07T07,0.02%,68.77%,0.47%,8.59%,22.15%,18.02,20.48
2023-01-07T08,0.02%,70.46%,0.51%,9.15%,19.87%,18.68,21.27
2023-01-07T09,0.02%,70.43%,0.55%,9.89%,19.11%,19.01,21.75
2023-01-07T10,0.02%,73.29%,0.56%,10.38%,15.75%,19.69,22.51
2023-01-07T11,0.02%,73.40%,0.56%,11.10%,14.91%,19.72,22.54
2023-01-07T12,0.02%,72.47%,0.57%,11.12%,15.82%,19.59,22.42
2023-01-07T13,0.03%,73.02%,0.55%,10.82%,15.57%,19.59,22.38
2023-01-07T14,0.03%,69.91%,0.53%,10.43%,19.10%,18.77,21.45
2023-01-07T15,0.02%,69.37%,0.52%,10.20%,19.89%,18.52,21.14
2023-01-07T16,0.02%,62.63%,0.50%,9.61%,27.23%,17.04,19.54
2023-01-07T17,0.02%,52.68%,0.44%,9.13%,37.72%,14.46,16.62
2023-01-07T18,0.02%,49.62%,0.44%,9.86%,40.07%,13.84,15.96
2023-01-07T19,0.02%,49.99%,0.43%,10.22%,39.34%,13.81,15.88
2023-01-07T20,0.02%,49.59%,0.44%,11.12%,38.84%,13.83,15.95
2023-01-07T21,0.01%,50.42%,0.44%,11.66%,37.47%,13.98,16.10
2023-01-07T22,0.02%,48.84%,0.44%,11.81%,38.89%,13.68,15.79
2023-01-07T23,0.02%,51.41%,0.47%,12.36%,35.75%,14.42,16.64
2023-01-08T00,0.02%,52.83%,0.46%,12.30%,34.39%,14.68,16.91
2023-01-08T01,0.02%,58.76%,0.47%,12.57%,28.17%,15.98,18.32
2023-01-08T02,0.02%,58.92%,0.44%,11.91%,28.71%,15.78,18.02
2023-01-08T03,0.02%,56.62%,0.44%,11.82%,31.10%,15.26,17.46
2023-01-08T04,0.02%,57.14%,0.46%,12.12%,30.26%,15.54,17.81
2023-01-08T05,0.02%,60.10%,0.48%,12.57%,26.83%,16.28,18.64
2023-01-08T06,0.02%,60.95%,0.49%,12.97%,25.57%,16.58,19.00
2023-01-08T07,0.02%,64.74%,0.49%,13.37%,21.38%,17.33,19.79
2023-01-08T08,0.02%,64.43%,0.52%,14.22%,20.81%,17.52,20.08
2023-01-08T09,0.02%,64.79%,0.52%,14.27%,20.39%,17.64,20.23
2023-01-08T10,0.02%,60.96%,0.59%,15.81%,22.63%,17.35,20.10
2023-01-08T11,0.02%,60.23%,0.63%,17.19%,21.92%,17.60,20.50
2023-01-08T12,0.02%,59.34%,0.65%,17.73%,22.25%,17.52,20.46
2023-01-08T13,0.02%,58.97%,0.64%,17.91%,22.46%,17.36,20.26
2023-01-08T14,0.02%,56.75%,0.49%,17.33%,25.41%,15.73,18.11
2023-01-08T15,0.02%,56.91%,0.28%,16.93%,25.86%,14.03,15.69
2023-01-08T16,0.02%,52.53%,0.25%,15.46%,31.73%,12.93,14.45
2023-01-08T17,0.02%,44.40%,0.25%,14.70%,40.63%,11.19,12.59
2023-01-08T18,0.02%,36.51%,0.25%,14.24%,48.99%,9.55,10.84
2023-01-08T19,0.02%,36.48%,0.23%,13.29%,49.98%,9.41,10.65
2023-01-08T20,0.02%,37.49%,0.22%,12.84%,49.43%,9.56,10.78
2023-01-08T21,0.02%,35.07%,0.22%,12.76%,51.93%,9.04,10.23
2023-01-08T22,0.02%,35.37%,0.22%,12.93%,51.46%,9.13,10.33
2023-01-08T23,0.02%,36.09%,0.24%,13.22%,50.43%,9.37,10.62
2023-01-09T00,0.02%,41.21%,0.25%,13.82%,44.70%,10.51,11.86
