period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-02-16T21,0.02%,38.72%,0.40%,10.56%,50.29%,11.22,13.05
2023-02-16T22,0.02%,38.77%,0.41%,11.06%,49.74%,11.38,13.27
2023-02-16T23,0.02%,39.86%,0.42%,11.17%,48.53%,11.68,13.61
2023-02-17T00,0.03%,43.44%,0.43%,11.25%,44.86%,12.44,14.43
2023-02-17T01,0.03%,56.42%,0.43%,11.37%,31.76%,15.16,17.33
2023-02-17T02,0.03%,60.57%,0.43%,11.41%,27.56%,16.00,18.21
2023-02-17T03,0.02%,64.40%,0.39%,10.63%,24.56%,16.51,18.65
2023-02-17T04,0.01%,62.24%,0.39%,10.77%,26.58%,16.07,18.18
2023-02-17T05,0.01%,62.94%,0.41%,11.01%,25.62%,16.36,18.55
2023-02-17T06,0.02%,64.10%,0.45%,11.91%,23.53%,16.87,19.19
2023-02-17T07,0.02%,65.39%,0.46%,12.48%,21.65%,17.27,19.66
2023-02-17T08,0.02%,66.76%,0.49%,13.32%,19.40%,17.81,20.32
2023-02-17T09,0.02%,68.40%,0.49%,13.25%,17.84%,18.13,20.65
2023-02-17T10,0.02%,66.24%,0.51%,13.54%,19.69%,17.81,20.37
2023-02-17T11,0.01%,65.40%,0.51%,13.80%,20.28%,17.67,20.22
2023-02-17T12,0.01%,62.94%,0.51%,13.51%,23.03%,17.12,19.62
2023-02-17T13,0.02%,61.39%,0.49%,12.97%,25.14%,16.63,19.05
2023-02-17T14,0.02%,59.73%,0.46%,12.19%,27.60%,16.10,18.41
2023-02-17T15,0.02%,57.97%,0.44%,11.48%,30.10%,15.52,17.72
2023-02-17T16,0.01%,54.20%,0.41%,10.68%,34.69%,14.49,16.55
2023-02-17T17,0.02%,45.26%,0.27%,10.51%,43.93%,11.58,13.07
2023-02-17T18,0.02%,36.43%,0.19%,10.46%,52.90%,9.07,10.17
2023-02-17T19,0.02%,35.84%,0.19%,10.27%,53.69%,8.92,10.00
2023-02-17T20,0.02%,38.68%,0.19%,10.43%,50.67%,9.57,10.71
2023-02-17T21,0.03%,40.13%,0.19%,10.94%,48.71%,9.87,11.03
2023-02-17T22,0.02%,39.29%,0.20%,11.17%,49.31%,9.73,10.89
2023-02-17T23,0.02%,38.80%,0.20%,11.24%,49.74%,9.63,10.79
2023-02-18T00,0.02%,41.60%,0.19%,11.03%,47.16%,10.18,11.37
2023-02-18T01,0.02%,53.31%,0.20%,11.28%,35.19%,12.64,13.98
2023-02-18T02,0.02%,60.10%,0.20%,11.31%,28.37%,14.05,15.48
2023-02-18T03,0.01%,62.24%,0.20%,11.13%,26.41%,14.46,15.91
2023-02-18T04,0.02%,60.94%,0.21%,11.38%,27.45%,14.27,15.73
2023-02-18T05,0.02%,62.56%,0.21%,11.55%,25.66%,14.67,16.18
2023-02-18T06,0.02%,63.98%,0.22%,11.94%,23.85%,15.02,16.57
2023-02-18T07,0.02%,67.41%,0.23%,12.69%,19.65%,15.80,17.42
2023-02-18T08,0.02%,67.86%,0.24%,13.49%,18.39%,16.01,17.69
2023-02-18T09,0.02%,68.06%,0.26%,13.95%,17.71%,16.17,17.90
2023-02-18T10,0.02%,67.83%,0.27%,14.65%,17.23%,16.23,18.00
2023-02-18T11,0.01%,68.25%,0.28%,15.21%,16.25%,16.40,18.21
2023-02-18T12,0.02%,70.79%,0.28%,15.20%,13.71%,16.92,18.77
2023-02-18T13,0.02%,68.78%,0.28%,15.11%,15.81%,16.49,18.31
2023-02-18T14,0.02%,65.29%,0.28%,14.86%,19.55%,15.73,17.49
2023-02-18T15,0.02%,63.98%,0.26%,14.26%,21.47%,15.37,17.07
2023-02-18T16,0.02%,50.30%,0.25%,12.93%,36.51%,12.39,13.85
2023-02-18T17,0.02%,30.49%,0.24%,12.54%,56.71%,8.24,9.42
2023-02-18T18,0.02%,21.59%,0.24%,12.84%,65.31%,6.44,7.54
2023-02-18T19,0.04%,24.36%,0.26%,13.91%,61.43%,7.13,8.31
2023-02-18T20,0.03%,29.58%,0.26%,14.20%,55.93%,8.20,9.45
2023-02-18T21,0.03%,29.84%,0.26%,14.95%,54.92%,8.31,9.58
2023-02-18T22,0.03%,29.86%,0.27%,15.21%,54.63%,8.35,9.64
2023-02-18T23,0.04%,29.70%,0.28%,15.86%,54.12%,8.42,9.74
2023-02-19T00,0.03%,30.81%,0.26%,14.82%,54.07%,8.50,9.77
2023-02-19T01,0.03%,44.35%,0.27%,14.98%,40.36%,11.37,12.85
2023-02-19T02,0.03%,54.37%,0.26%,14.52%,30.81%,13.38,14.95
2023-02-19T03,0.02%,57.19%,0.25%,13.92%,28.63%,13.82,15.37
2023-02-19T04,0.02%,59.52%,0.24%,13.84%,26.38%,14.24,15.79
2023-02-19T05,0.02%,60.60%,0.23%,13.96%,25.18%,14.43,15.98
2023-02-19T06,0.02%,63.83%,0.21%,14.04%,21.90%,14.91,16.42
2023-02-19T07,0.02%,65.63%,0.21%,14.60%,19.54%,15.30,16.84
2023-02-19T08,0.03%,65.76%,0.23%,15.63%,18.34%,15.50,17.12
2023-02-19T09,0.03%,66.90%,0.25%,16.96%,15.86%,15.90,17.60
2023-02-19T10,0.03%,67.70%,0.26%,17.89%,14.13%,16.11,17.85
2023-02-19T11,0.03%,64.94%,0.28%,18.52%,16.23%,15.68,17.44
2023-02-19T12,0.03%,63.28%,0.29%,19.10%,17.30%,15.41,17.18
2023-02-19T13,0.03%,62.30%,0.29%,19.14%,18.25%,15.21,16.97
2023-02-19T14,0.02%,61.37%,0.27%,17.87%,20.46%,14.87,16.55
2023-02-19T15,0.02%,57.68%,0.25%,16.65%,25.39%,13.96,15.53
2023-02-19T16,0.02%,42.71%,0.23%,15.27%,41.77%,10.69,12.00
2023-02-19T17,0.02%,27.97%,0.19%,13.25%,58.57%,7.35,8.36
2023-02-19T18,0.03%,27.09%,0.19%,13.18%,59.51%,7.11,8.08
2023-02-19T19,0.03%,30.61%,0.20%,13.95%,55.21%,7.93,8.98
2023-02-19T20,0.03%,33.87%,0.21%,14.31%,51.58%,8.70,9.83
2023-02-19T21,0.03%,34.38%,0.22%,15.40%,49.97%,8.93,10.12
2023-02-19T22,0.04%,31.83%,0.22%,15.54%,52.37%,8.37,9.51
2023-02-19T23,0.04%,27.78%,0.21%,15.04%,56.93%,7.47,8.54
2023-02-20T00,0.04%,30.57%,0.21%,14.65%,54.53%,8.00,9.09
2023-02-20T01,0.03%,42.39%,0.22%,15.51%,41.84%,10.55,11.82
2023-02-20T02,0.03%,50.59%,0.24%,16.30%,32.84%,12.39,13.83
2023-02-20T03,0.03%,52.08%,0.23%,15.18%,32.48%,12.62,14.05
2023-02-20T04,0.03%,53.91%,0.22%,15.04%,30.80%,12.93,14.35
2023-02-20T05,0.03%,55.63%,0.23%,15.72%,28.38%,13.36,14.84
2023-02-20T06,0.04%,56.95%,0.23%,16.54%,26.25%,13.61,15.10
2023-02-20T07,0.04%,61.59%,0.27%,17.85%,20.26%,14.91,16.59
2023-02-20T08,0.04%,59.29%,0.35%,18.97%,21.35%,15.11,17.05
2023-02-20T09,0.05%,62.54%,0.57%,20.68%,16.16%,17.60,20.33
2023-02-20T10,0.05%,59.78%,0.70%,21.59%,17.89%,18.00,21.11
2023-02-20T11,0.05%,60.45%,0.70%,21.35%,17.45%,18.16,21.28
2023-02-20T12,0.05%,60.08%,0.68%,20.82%,18.38%,17.94,21.00
2023-02-20T13,0.04%,59.00%,0.66%,19.79%,20.51%,17.51,20.48
2023-02-20T14,0.04%,55.80%,0.59%,17.72%,25.85%,16.36,19.07
2023-02-20T15,0.03%,54.17%,0.54%,15.95%,29.31%,15.60,18.11
2023-02-20T16,0.03%,40.92%,0.46%,14.28%,44.32%,12.19,14.26
2023-02-20T17,0.02%,26.02%,0.45%,13.64%,59.87%,8.99,10.83
2023-02-20T18,0.02%,22.76%,0.43%,13.18%,63.60%,8.20,9.94
2023-02-20T19,0.03%,24.33%,0.42%,13.15%,62.06%,8.47,10.21
2023-02-20T20,0.04%,25.69%,0.44%,13.59%,60.24%,8.86,10.67
2023-02-20T21,0.04%,25.20%,0.44%,13.67%,60.65%,8.79,10.60
2023-02-20T22,0.03%,26.15%,0.44%,13.51%,59.87%,8.94,10.75
2023-02-20T23,0.03%,23.13%,0.44%,13.33%,63.07%,8.32,10.09
2023-02-21T00,0.03%,27.34%,0.44%,13.32%,58.88%,9.19,11.01
2023-02-21T01,0.03%,39.29%,0.47%,14.30%,45.91%,11.92,14.00
2023-02-21T02,0.03%,47.85%,0.36%,13.57%,38.20%,12.81,14.63
2023-02-21T03,0.02%,49.51%,0.23%,13.26%,36.98%,12.09,13.49
2023-02-21T04,0.03%,50.20%,0.23%,13.31%,36.22%,12.24,13.65
2023-02-21T05,0.02%,51.64%,0.24%,13.33%,34.77%,12.59,14.03
2023-02-21T06,0.02%,54.78%,0.25%,13.95%,31.00%,13.33,14.85
2023-02-21T07,0.03%,56.19%,0.28%,15.89%,27.61%,13.90,15.55
2023-02-21T08,0.04%,55.01%,0.32%,17.84%,26.79%,14.00,15.78
2023-02-21T09,0.03%,56.47%,0.32%,17.79%,25.38%,14.29,16.09
2023-02-21T10,0.04%,58.99%,0.33%,18.49%,22.15%,14.91,16.79
2023-02-21T11,0.04%,59.20%,0.34%,19.17%,21.25%,14.99,16.88
2023-02-21T12,0.05%,58.85%,0.33%,18.75%,22.02%,14.86,16.73
2023-02-21T13,0.05%,56.69%,0.31%,17.81%,25.13%,14.28,16.06
2023-02-21T14,0.04%,53.07%,0.28%,15.63%,30.98%,13.22,14.82
2023-02-21T15,0.03%,49.69%,0.23%,13.70%,36.35%,12.14,13.55
2023-02-21T16,0.03%,43.18%,0.19%,11.86%,44.73%,10.50,11.70
2023-02-21T17,0.02%,32.29%,0.19%,10.97%,56.53%,8.21,9.26
2023-02-21T18,0.02%,27.78%,0.19%,11.18%,60.82%,7.27,8.25
2023-02-21T19,0.03%,24.73%,0.19%,11.38%,63.68%,6.66,7.62
2023-02-21T20,0.04%,25.67%,0.20%,12.06%,62.03%,6.95,7.96
2023-02-21T21,0.03%,25.92%,0.19%,11.56%,62.30%,6.93,7.92
2023-02-21T22,0.03%,22.12%,0.18%,11.31%,66.35%,6.08,6.98
2023-02-21T23,0.03%,20.68%,0.19%,11.50%,67.61%,5.80,6.70
2023-02-22T00,0.03%,27.96%,0.20%,11.62%,60.19%,7.37,8.38
2023-02-22T01,0.04%,36.62%,0.19%,11.82%,51.33%,9.14,10.26
2023-02-22T02,0.03%,41.90%,0.20%,11.75%,46.12%,10.27,11.46
2023-02-22T03,0.02%,45.03%,0.19%,11.25%,43.51%,10.85,12.05
2023-02-22T04,0.03%,45.20%,0.19%,11.19%,43.38%,10.92,12.14
2023-02-22T05,0.03%,46.51%,0.20%,11.68%,41.58%,11.25,12.52
2023-02-22T06,0.03%,46.70%,0.21%,12.11%,40.95%,11.35,12.65
2023-02-22T07,0.03%,51.49%,0.23%,13.15%,35.09%,12.54,13.97
2023-02-22T08,0.03%,53.44%,0.23%,13.75%,32.54%,12.93,14.38
2023-02-22T09,0.04%,55.02%,0.24%,13.67%,31.03%,13.34,14.85
2023-02-22T10,0.04%,55.66%,0.24%,13.61%,30.45%,13.46,14.98
2023-02-22T11,0.04%,55.98%,0.24%,13.63%,30.10%,13.53,15.05
2023-02-22T12,0.04%,55.48%,0.23%,13.51%,30.75%,13.36,14.85
2023-02-22T13,0.04%,56.57%,0.23%,12.83%,30.33%,13.54,15.02
2023-02-22T14,0.04%,56.26%,0.22%,12.26%,31.22%,13.39,14.83
2023-02-22T15,0.02%,51.70%,0.32%,11.31%,36.64%,13.32,15.07
2023-02-22T16,0.01%,47.64%,0.35%,10.58%,41.42%,12.72,14.52
2023-02-22T17,0.01%,39.35%,0.38%,10.26%,49.99%,11.22,13.00
2023-02-22T18,0.01%,34.65%,0.39%,10.59%,54.36%,10.34,12.11
2023-02-22T19,0.01%,37.96%,0.40%,10.64%,50.99%,11.08,12.91
2023-02-22T20,0.01%,39.46%,0.40%,10.62%,49.51%,11.39,13.23
2023-02-22T21,0.01%,39.69%,0.40%,10.55%,49.35%,11.41,13.25
2023-02-22T22,0.01%,36.84%,0.40%,10.69%,52.05%,10.87,12.69
2023-02-22T23,0.01%,37.28%,0.39%,10.31%,52.01%,10.84,12.62
2023-02-23T00,0.01%,41.32%,0.39%,10.46%,47.81%,11.72,13.57
2023-02-23T01,0.01%,47.23%,0.39%,10.42%,41.94%,12.93,14.85
2023-02-23T02,0.01%,53.22%,0.37%,9.75%,36.66%,13.97,15.87
2023-02-23T03,0.01%,55.06%,0.34%,9.19%,35.40%,14.15,15.99
2023-02-23T04,0.01%,54.82%,0.34%,9.19%,35.63%,14.13,15.98
2023-02-23T05,0.01%,55.19%,0.36%,9.64%,34.80%,14.34,16.25
2023-02-23T06,0.01%,55.86%,0.38%,10.20%,33.55%,14.64,16.64
2023-02-23T07,0.01%,58.22%,0.42%,11.29%,30.06%,15.42,17.56
2023-02-23T08,0.01%,62.87%,0.45%,12.22%,24.45%,16.66,18.98
2023-02-23T09,0.01%,62.08%,0.47%,12.63%,24.81%,16.67,19.05
2023-02-23T10,0.01%,68.16%,0.48%,12.86%,18.50%,17.95,20.42
2023-02-23T11,0.01%,68.52%,0.48%,13.22%,17.76%,18.09,20.59
2023-02-23T12,0.01%,68.50%,0.48%,13.19%,17.82%,18.03,20.50
2023-02-23T13,0.01%,65.61%,0.47%,12.73%,21.18%,17.35,19.75
2023-02-23T14,0.01%,61.06%,0.41%,11.21%,27.31%,15.95,18.11
2023-02-23T15,0.01%,59.39%,0.36%,9.96%,30.27%,15.20,17.17
2023-02-23T16,0.01%,54.14%,0.34%,9.56%,35.94%,13.96,15.80
2023-02-23T17,0.01%,51.45%,0.35%,9.47%,38.72%,13.48,15.31
2023-02-23T18,0.01%,48.85%,0.35%,9.11%,41.69%,12.90,14.68
2023-02-23T19,0.01%,48.97%,0.34%,8.96%,41.72%,12.88,14.64
2023-02-23T20,0.01%,49.67%,0.35%,9.34%,40.63%,13.11,14.91
2023-02-23T21,0.01%,49.43%,0.36%,9.82%,40.37%,13.17,15.02
2023-02-23T22,0.01%,49.79%,0.38%,10.22%,39.60%,13.37,15.27
2023-02-23T23,0.01%,51.05%,0.38%,10.28%,38.27%,13.65,15.58
2023-02-24T00,0.01%,50.92%,0.38%,10.32%,38.37%,13.63,15.57
2023-02-24T01,0.01%,50.98%,0.36%,9.96%,38.68%,13.50,15.38
2023-02-24T02,0.01%,57.81%,0.35%,9.59%,32.24%,14.80,16.71
2023-02-24T03,0.01%,59.55%,0.34%,9.26%,30.84%,15.03,16.91
2023-02-24T04,0.01%,60.02%,0.34%,9.14%,30.49%,15.16,17.06
2023-02-24T05,0.01%,59.77%,0.35%,9.29%,30.58%,15.18,17.11
2023-02-24T06,0.01%,60.56%,0.36%,9.74%,29.33%,15.41,17.38
2023-02-24T07,0.02%,62.29%,0.36%,11.01%,26.31%,15.80,17.80
2023-02-24T08,0.02%,65.56%,0.37%,11.50%,22.55%,16.56,18.64
2023-02-24T09,0.02%,61.87%,0.40%,12.37%,25.33%,16.07,18.22
2023-02-24T10,0.02%,63.06%,0.43%,12.91%,23.59%,16.50,18.74
2023-02-24T11,0.02%,63.73%,0.43%,13.03%,22.79%,16.67,18.93
2023-02-24T12,0.02%,65.70%,0.48%,13.03%,20.78%,17.46,19.90
2023-02-24T13,0.01%,62.58%,0.46%,12.26%,24.69%,16.67,19.01
2023-02-24T14,0.01%,61.89%,0.41%,10.97%,26.72%,16.13,18.30
2023-02-24T15,0.01%,62.52%,0.37%,10.04%,27.05%,15.95,17.99
2023-02-24T16,0.01%,57.87%,0.35%,9.65%,32.12%,14.80,16.71
2023-02-24T17,0.01%,57.09%,0.35%,9.52%,33.03%,14.63,16.53
2023-02-24T18,0.01%,58.41%,0.35%,9.53%,31.69%,14.94,16.87
2023-02-24T19,0.01%,60.44%,0.35%,9.41%,29.79%,15.32,17.26
2023-02-24T20,0.01%,58.45%,0.35%,9.36%,31.83%,14.90,16.81
2023-02-24T21,0.01%,55.61%,0.35%,9.44%,34.59%,14.37,16.26
2023-02-24T22,0.01%,57.29%,0.37%,9.84%,32.49%,14.84,16.81
2023-02-24T23,0.01%,60.44%,0.38%,10.14%,29.03%,15.58,17.63
2023-02-25T00,0.02%,61.81%,0.39%,10.35%,27.43%,15.93,18.02
2023-02-25T01,0.01%,62.65%,0.39%,10.33%,26.62%,16.10,18.19
2023-02-25T02,0.01%,61.97%,0.38%,10.07%,27.58%,15.87,17.93
2023-02-25T03,0.01%,61.72%,0.36%,9.80%,28.11%,15.67,17.66
2023-02-25T04,0.01%,60.50%,0.36%,9.82%,29.31%,15.43,17.40
2023-02-25T05,0.01%,62.42%,0.36%,9.94%,27.27%,15.82,17.82
2023-02-25T06,0.01%,63.09%,0.39%,10.55%,25.96%,16.18,18.28
2023-02-25T07,0.01%,63.62%,0.40%,11.08%,24.89%,16.36,18.50
2023-02-25T08,0.01%,64.55%,0.43%,11.95%,23.06%,16.85,19.12
2023-02-25T09,0.01%,66.85%,0.45%,12.55%,20.14%,17.50,19.88
2023-02-25T10,0.01%,69.17%,0.46%,12.82%,17.54%,18.02,20.44
2023-02-25T11,0.01%,71.28%,0.32%,13.33%,15.06%,17.31,19.28
2023-02-25T12,0.02%,72.01%,0.29%,13.49%,14.19%,17.26,19.15
2023-02-25T13,0.01%,70.72%,0.29%,13.28%,15.70%,16.95,18.81
2023-02-25T14,0.01%,69.80%,0.28%,12.97%,16.94%,16.71,18.53
2023-02-25T15,0.01%,66.93%,0.27%,12.64%,20.14%,16.06,17.82
2023-02-25T16,0.02%,61.64%,0.25%,11.71%,26.38%,14.80,16.43
2023-02-25T17,0.01%,56.53%,0.19%,10.55%,32.73%,13.20,14.54
2023-02-25T18,0.01%,57.40%,0.18%,10.15%,32.26%,13.36,14.70
2023-02-25T19,0.01%,58.74%,0.18%,10.16%,30.91%,13.64,15.00
2023-02-25T20,0.01%,55.86%,0.19%,10.30%,33.63%,13.10,14.45
2023-02-25T21,0.01%,55.01%,0.20%,10.67%,34.12%,12.98,14.34
2023-02-25T22,0.01%,58.84%,0.21%,11.11%,29.84%,13.84,15.27
2023-02-25T23,0.01%,58.14%,0.21%,11.02%,30.63%,13.72,15.15
2023-02-26T00,0.02%,60.20%,0.22%,11.74%,27.83%,14.25,15.76
2023-02-26T01,0.02%,60.30%,0.24%,12.42%,27.03%,14.38,15.93
2023-02-26T02,0.01%,59.89%,0.22%,11.44%,28.44%,14.14,15.63
2023-02-26T03,0.01%,60.34%,0.21%,11.08%,28.35%,14.19,15.65
2023-02-26T04,0.01%,59.46%,0.21%,11.28%,29.04%,13.99,15.45
2023-02-26T05,0.01%,61.36%,0.21%,11.31%,27.10%,14.43,15.93
2023-02-26T06,0.02%,61.58%,0.22%,11.87%,26.31%,14.52,16.04
2023-02-26T07,0.02%,62.14%,0.22%,12.30%,25.32%,14.61,16.13
2023-02-26T08,0.02%,64.63%,0.24%,13.18%,21.93%,15.30,16.92
2023-02-26T09,0.02%,65.10%,0.26%,13.56%,21.06%,15.55,17.24
2023-02-26T10,0.02%,62.10%,0.26%,14.24%,23.37%,14.98,16.66
2023-02-26T11,0.02%,60.21%,0.27%,14.53%,24.97%,14.63,16.30
2023-02-26T12,0.02%,61.03%,0.27%,14.69%,23.99%,14.83,16.52
2023-02-26T13,0.02%,58.72%,0.27%,14.31%,26.69%,14.29,15.93
2023-02-26T14,0.02%,54.80%,0.27%,14.27%,30.63%,13.53,15.14
2023-02-26T15,0.01%,49.32%,0.26%,14.14%,36.27%,12.32,13.83
2023-02-26T16,0.01%,36.81%,0.24%,12.47%,50.47%,9.58,10.86
2023-02-26T17,0.01%,29.58%,0.25%,11.50%,58.66%,8.13,9.35
2023-02-26T18,0.01%,28.56%,0.30%,11.26%,59.86%,8.37,9.75
2023-02-26T19,0.02%,30.29%,0.40%,11.74%,57.55%,9.50,11.23
2023-02-26T20,0.02%,32.98%,0.42%,11.95%,54.64%,10.20,12.03
2023-02-26T21,0.02%,33.60%,0.43%,12.06%,53.90%,10.40,12.27
2023-02-26T22,0.02%,32.95%,0.46%,12.88%,53.69%,10.55,12.52
2023-02-26T23,0.02%,35.35%,0.44%,12.97%,51.22%,10.88,12.82
2023-02-27T00,0.02%,36.38%,0.41%,12.44%,50.75%,10.86,12.71
2023-02-27T01,0.02%,45.13%,0.42%,12.31%,42.11%,12.77,14.77
2023-02-27T02,0.02%,55.24%,0.44%,12.94%,31.36%,14.99,17.17
2023-02-27T03,0.02%,59.38%,0.44%,12.50%,27.67%,15.81,18.03
2023-02-27T04,0.02%,60.43%,0.44%,12.75%,26.36%,16.10,18.37
2023-02-27T05,0.02%,60.02%,0.44%,12.46%,27.07%,15.98,18.22
2023-02-27T06,0.02%,61.69%,0.48%,12.97%,24.84%,16.65,19.06
2023-02-27T07,0.02%,63.34%,0.49%,13.40%,22.75%,17.08,19.54
2023-02-27T08,0.02%,62.21%,0.52%,14.38%,22.86%,17.09,19.63
2023-02-27T09,0.03%,64.05%,0.54%,15.00%,20.38%,17.65,20.29
2023-02-27T10,0.02%,67.14%,0.55%,15.04%,17.25%,18.35,21.06
2023-02-27T11,0.02%,66.51%,0.55%,14.97%,17.95%,18.20,20.89
2023-02-27T12,0.02%,66.04%,0.55%,15.00%,18.38%,18.11,20.80
2023-02-27T13,0.02%,64.11%,0.53%,14.53%,20.82%,17.52,20.10
2023-02-27T14,0.02%,60.20%,0.47%,13.00%,26.31%,16.27,18.62
2023-02-27T15,0.01%,55.27%,0.40%,11.25%,33.08%,14.65,16.69
2023-02-27T16,0.01%,50.34%,0.36%,10.04%,39.25%,13.36,15.22
2023-02-27T17,0.01%,42.82%,0.34%,9.37%,47.45%,11.64,13.34
2023-02-27T18,0.00%,41.42%,0.35%,9.51%,48.72%,11.39,13.09
2023-02-27T19,0.01%,45.56%,0.37%,9.94%,44.12%,12.41,14.23
2023-02-27T20,0.01%,48.08%,0.37%,9.94%,41.61%,12.93,14.78
2023-02-27T21,0.01%,48.52%,0.39%,10.36%,40.72%,13.19,15.11
2023-02-27T22,0.01%,48.74%,0.39%,10.27%,40.59%,13.21,15.13
2023-02-27T23,0.01%,46.09%,0.40%,10.59%,42.92%,12.75,14.68
2023-02-28T00,0.01%,42.82%,0.38%,10.08%,46.71%,11.92,13.74
2023-02-28T01,0.01%,47.67%,0.38%,10.11%,41.84%,12.90,14.77
2023-02-28T02,0.01%,52.96%,0.37%,9.87%,36.79%,13.92,15.83
2023-02-28T03,0.01%,53.73%,0.35%,9.56%,36.35%,13.95,15.81
2023-02-28T04,0.01%,55.21%,0.35%,9.66%,34.76%,14.29,16.19
2023-02-28T05,0.01%,57.40%,0.36%,10.13%,32.10%,14.81,16.76
2023-02-28T06,0.01%,59.16%,0.40%,11.03%,29.40%,15.51,17.63
2023-02-28T07,0.02%,60.17%,0.44%,11.73%,27.65%,15.97,18.20
2023-02-28T08,0.02%,62.03%,0.46%,12.57%,24.93%,16.57,18.90
2023-02-28T09,0.02%,63.82%,0.44%,11.91%,23.81%,16.74,19.02
2023-02-28T10,0.02%,66.27%,0.45%,12.22%,21.04%,17.38,19.75
2023-02-28T11,0.02%,66.41%,0.47%,12.54%,20.56%,17.55,19.98
2023-02-28T12,0.02%,65.38%,0.46%,12.36%,21.78%,17.24,19.61
2023-02-28T13,0.02%,63.85%,0.45%,12.06%,23.62%,16.88,19.21
2023-02-28T14,0.02%,61.09%,0.42%,11.44%,27.03%,16.07,18.28
2023-02-28T15,0.01%,58.11%,0.39%,10.72%,30.76%,15.20,17.26
2023-02-28T16,0.01%,50.65%,0.36%,9.81%,39.17%,13.39,15.25
2023-02-28T17,0.01%,43.61%,0.35%,9.41%,46.62%,11.82,13.53
2023-02-28T18,0.01%,43.71%,0.34%,9.26%,46.68%,11.79,13.49
2023-02-28T19,0.01%,44.18%,0.34%,9.31%,46.15%,11.91,13.62
2023-02-28T20,0.01%,44.77%,0.35%,9.53%,45.34%,12.09,13.84
2023-02-28T21,0.02%,43.22%,0.33%,9.72%,46.71%,11.59,13.24
2023-02-28T22,0.02%,43.35%,0.32%,9.63%,46.69%,11.55,13.18
2023-02-28T23,0.02%,45.68%,0.34%,10.07%,43.89%,12.19,13.91
2023-03-01T00,0.02%,47.84%,0.37%,10.13%,41.65%,12.87,14.72
2023-03-01T01,0.01%,54.82%,0.36%,10.12%,34.69%,14.24,16.14
2023-03-01T02,0.01%,59.81%,0.33%,9.57%,30.27%,15.08,16.96
2023-03-01T03,0.02%,60.74%,0.33%,9.46%,29.46%,15.21,17.08
2023-03-01T04,0.02%,60.74%,0.33%,9.46%,29.46%,15.24,17.12
2023-03-01T05,0.01%,60.51%,0.34%,9.77%,29.37%,15.25,17.15
2023-03-01T06,0.01%,62.41%,0.36%,10.28%,26.94%,15.82,17.82
2023-03-01T07,0.02%,63.51%,0.40%,10.95%,25.13%,16.35,18.49
2023-03-01T08,0.02%,66.31%,0.43%,11.59%,21.65%,17.16,19.43
2023-03-01T09,0.02%,64.77%,0.44%,12.09%,22.67%,16.99,19.31
2023-03-01T10,0.02%,66.21%,0.45%,12.23%,21.10%,17.33,19.68
2023-03-01T11,0.02%,66.57%,0.45%,12.32%,20.64%,17.39,19.74
2023-03-01T12,0.02%,66.25%,0.44%,12.07%,21.21%,17.26,19.57
2023-03-01T13,0.02%,62.63%,0.42%,11.55%,25.38%,16.35,18.55
2023-03-01T14,0.02%,57.76%,0.39%,10.60%,31.23%,15.10,17.14
2023-03-01T15,0.01%,56.06%,0.35%,9.75%,33.83%,14.46,16.36
2023-03-01T16,0.01%,54.62%,0.35%,9.56%,35.46%,14.10,15.96
2023-03-01T17,0.01%,49.12%,0.34%,9.29%,41.24%,12.92,14.69
2023-03-01T18,0.01%,42.39%,0.34%,9.32%,47.94%,11.54,13.23
2023-03-01T19,0.02%,35.40%,0.37%,10.13%,54.08%,10.33,12.04
2023-03-01T20,0.02%,36.20%,0.39%,10.49%,52.91%,10.61,12.37
2023-03-01T21,0.02%,38.28%,0.38%,10.30%,51.01%,10.98,12.75
2023-03-01T22,0.02%,34.73%,0.40%,10.78%,54.08%,10.39,12.17
2023-03-01T23,0.02%,33.88%,0.40%,11.00%,54.69%,10.28,12.08
2023-03-02T00,0.02%,40.41%,0.41%,11.17%,47.99%,11.68,13.58
2023-03-02T01,0.02%,46.76%,0.40%,10.92%,41.89%,12.92,14.87
2023-03-02T02,0.02%,52.69%,0.38%,10.33%,36.58%,13.97,15.92
2023-03-02T03,0.02%,51.72%,0.35%,9.62%,38.29%,13.56,15.40
2023-03-02T04,0.01%,53.01%,0.35%,9.58%,37.05%,13.81,15.66
2023-03-02T05,0.01%,53.27%,0.36%,9.73%,36.62%,13.95,15.84
2023-03-02T06,0.02%,55.23%,0.38%,10.24%,34.13%,14.50,16.48
2023-03-02T07,0.01%,57.25%,0.41%,11.14%,31.19%,15.19,17.30
2023-03-02T08,0.02%,60.17%,0.43%,11.61%,27.77%,15.93,18.15
2023-03-02T09,0.02%,56.40%,0.46%,12.48%,30.64%,15.42,17.69
2023-03-02T10,0.02%,57.17%,0.49%,13.09%,29.23%,15.76,18.12
2023-03-02T11,0.01%,56.59%,0.50%,13.44%,29.46%,15.75,18.14
2023-03-02T12,0.02%,54.25%,0.49%,13.21%,32.03%,15.19,17.53
2023-03-02T13,0.02%,58.13%,0.49%,13.04%,28.31%,15.99,18.38
2023-03-02T14,0.01%,59.30%,0.44%,11.64%,28.61%,15.80,18.03
2023-03-02T15,0.01%,58.51%,0.38%,10.22%,30.88%,15.17,17.19
