period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-03-28T15,13.64%,25.17%,43.77%,0.00%,17.42%,7.08,24.22
2023-03-28T16,13.79%,26.00%,44.34%,0.00%,15.87%,7.18,24.54
2023-03-28T17,13.94%,25.81%,44.46%,0.00%,15.79%,7.24,24.76
2023-03-28T18,13.80%,27.89%,42.83%,0.00%,15.48%,7.28,24.74
2023-03-28T19,13.85%,27.69%,41.35%,0.00%,17.11%,7.29,24.81
2023-03-28T20,13.67%,27.37%,41.44%,0.00%,17.53%,7.20,24.48
2023-03-28T21,13.24%,27.03%,41.69%,0.00%,18.04%,7.00,23.77
2023-03-28T22,12.41%,26.82%,42.42%,0.00%,18.35%,6.63,22.42
2023-03-28T23,12.40%,25.97%,42.69%,0.00%,18.95%,6.58,22.31
2023-03-29T00,12.43%,26.41%,42.02%,0.00%,19.14%,6.62,22.41
2023-03-29T01,12.14%,27.68%,40.23%,0.00%,19.95%,6.55,22.07
2023-03-29T02,12.29%,26.67%,40.56%,0.00%,20.49%,6.57,22.21
2023-03-29T03,13.05%,24.97%,43.52%,0.00%,18.46%,6.82,23.26
2023-03-29T04,13.75%,27.21%,46.33%,0.00%,12.70%,7.23,24.60
2023-03-29T05,14.66%,30.01%,49.23%,0.00%,6.09%,7.75,26.32
2023-03-29T06,14.84%,33.96%,50.24%,0.00%,0.96%,8.02,26.98
2023-03-29T07,15.08%,35.25%,50.67%,0.00%,-1.00%,8.18,27.50
2023-03-29T08,14.80%,36.01%,50.07%,0.00%,-0.88%,8.10,27.13
2023-03-29T09,14.24%,36.27%,48.94%,0.00%,0.55%,7.87,26.26
2023-03-29T10,13.50%,32.43%,46.74%,0.00%,7.33%,7.37,24.71
2023-03-29T11,12.16%,30.21%,42.70%,0.00%,14.94%,6.68,22.34
2023-03-29T12,11.06%,29.85%,38.80%,0.00%,20.30%,6.19,20.55
2023-03-29T13,11.04%,29.10%,38.20%,0.00%,21.66%,6.15,20.45
2023-03-29T14,11.56%,28.14%,40.16%,0.00%,20.15%,6.32,21.18
2023-03-29T15,12.38%,26.74%,42.73%,0.00%,18.15%,6.61,22.36
2023-03-29T16,12.78%,28.36%,44.29%,0.00%,14.56%,6.86,23.16
2023-03-29T17,13.14%,27.87%,45.67%,0.00%,13.32%,6.99,23.68
2023-03-29T18,13.44%,27.95%,46.05%,0.00%,12.55%,7.13,24.17
2023-03-29T19,13.65%,28.03%,46.79%,0.00%,11.53%,7.22,24.51
2023-03-29T20,13.82%,29.11%,46.92%,0.00%,10.15%,7.35,24.89
2023-03-29T21,13.78%,29.28%,46.80%,0.00%,10.14%,7.34,24.85
2023-03-29T22,13.51%,29.78%,45.89%,0.00%,10.82%,7.24,24.46
2023-03-29T23,13.27%,28.30%,45.10%,0.00%,13.34%,7.07,23.93
2023-03-30T00,13.08%,27.66%,44.35%,0.00%,14.91%,6.96,23.56
2023-03-30T01,12.50%,28.77%,42.54%,0.00%,16.19%,6.76,22.75
2023-03-30T02,12.76%,27.81%,43.29%,0.00%,16.13%,6.83,23.08
2023-03-30T03,13.12%,27.77%,44.80%,0.00%,14.31%,6.98,23.64
2023-03-30T04,13.81%,28.86%,47.03%,0.00%,10.31%,7.33,24.84
2023-03-30T05,14.34%,30.53%,48.78%,0.00%,6.36%,7.64,25.85
2023-03-30T06,14.83%,30.55%,50.23%,0.00%,4.38%,7.85,26.65
2023-03-30T07,16.32%,30.79%,49.59%,0.00%,3.29%,8.51,29.05
2023-03-30T08,16.14%,31.49%,49.03%,0.00%,3.34%,8.46,28.82
2023-03-30T09,15.81%,31.56%,48.24%,0.00%,4.39%,8.32,28.30
2023-03-30T10,14.94%,32.68%,45.57%,0.00%,6.80%,8.00,27.03
2023-03-30T11,13.40%,30.80%,41.61%,0.00%,14.19%,7.24,24.38
2023-03-30T12,12.42%,29.60%,38.49%,0.00%,19.50%,6.77,22.71
2023-03-30T13,12.21%,29.31%,38.31%,0.00%,20.17%,6.66,22.34
2023-03-30T14,12.94%,27.85%,40.14%,0.00%,19.07%,6.91,23.37
2023-03-30T15,13.99%,28.88%,42.92%,0.00%,14.21%,7.41,25.14
2023-03-30T16,14.53%,28.15%,44.63%,0.00%,12.69%,7.61,25.94
2023-03-30T17,14.40%,29.24%,45.36%,0.00%,11.00%,7.60,25.83
2023-03-30T18,13.50%,29.17%,46.39%,0.00%,10.95%,7.21,24.38
2023-03-30T19,13.27%,29.57%,46.68%,0.00%,10.48%,7.13,24.05
2023-03-30T20,13.45%,29.51%,46.80%,0.00%,10.24%,7.21,24.34
2023-03-30T21,13.34%,29.73%,46.62%,0.00%,10.31%,7.17,24.18
2023-03-30T22,13.12%,29.38%,46.03%,0.00%,11.48%,7.06,23.79
2023-03-30T23,12.58%,28.42%,44.04%,0.00%,14.96%,6.78,22.85
2023-03-31T00,12.45%,26.39%,44.05%,0.00%,17.10%,6.63,22.44
2023-03-31T01,11.94%,28.65%,42.29%,0.00%,17.13%,6.51,21.84
2023-03-31T02,12.43%,26.70%,43.50%,0.00%,17.37%,6.63,22.44
2023-03-31T03,13.70%,26.90%,46.22%,0.00%,13.17%,7.19,24.49
2023-03-31T04,14.01%,28.59%,49.50%,0.00%,7.90%,7.40,25.15
2023-03-31T05,14.47%,29.49%,52.33%,0.00%,3.72%,7.65,25.97
2023-03-31T06,14.71%,31.20%,53.70%,0.00%,0.39%,7.83,26.51
2023-03-31T07,15.10%,32.61%,55.23%,0.00%,-2.95%,8.06,27.27
2023-03-31T08,15.19%,32.19%,55.46%,0.00%,-2.84%,8.08,27.38
2023-03-31T09,15.19%,32.49%,55.14%,0.00%,-2.82%,8.10,27.41
2023-03-31T10,14.76%,34.08%,53.81%,0.00%,-2.65%,7.99,26.88
2023-03-31T11,13.67%,33.47%,49.73%,0.00%,3.13%,7.49,25.07
2023-03-31T12,12.83%,29.50%,46.70%,0.00%,10.97%,6.94,23.35
2023-03-31T13,12.43%,27.80%,45.30%,0.00%,14.47%,6.68,22.54
2023-03-31T14,12.62%,27.36%,44.86%,0.00%,15.16%,6.75,22.80
2023-03-31T15,12.83%,27.40%,44.90%,0.00%,14.87%,6.84,23.14
2023-03-31T16,12.66%,28.00%,44.92%,0.00%,14.42%,6.79,22.93
2023-03-31T17,12.75%,28.03%,44.97%,0.00%,14.25%,6.84,23.08
2023-03-31T18,12.81%,27.23%,44.96%,0.00%,14.99%,6.82,23.10
2023-03-31T19,12.89%,28.88%,45.42%,0.00%,12.81%,6.94,23.39
2023-03-31T20,12.93%,28.93%,45.38%,0.00%,12.76%,6.95,23.45
2023-03-31T21,12.95%,28.14%,45.49%,0.00%,13.41%,6.93,23.42
2023-03-31T22,13.77%,27.10%,44.92%,0.00%,14.20%,7.23,24.61
2023-03-31T23,14.69%,27.21%,44.82%,0.00%,13.27%,7.63,26.10
2023-04-01T00,14.39%,26.75%,46.01%,0.00%,12.86%,7.48,25.57
2023-04-01T01,13.76%,28.71%,45.19%,0.00%,12.34%,7.30,24.76
2023-04-01T02,14.05%,27.80%,46.02%,0.00%,12.13%,7.38,25.13
2023-04-01T03,14.53%,27.33%,48.41%,0.00%,9.73%,7.57,25.86
2023-04-01T04,15.44%,25.63%,51.40%,0.00%,7.54%,7.88,27.14
2023-04-01T05,16.04%,24.34%,53.18%,0.00%,6.45%,8.07,27.96
2023-04-01T06,15.83%,24.29%,53.77%,0.00%,6.10%,7.98,27.63
2023-04-01T07,15.39%,23.21%,55.91%,0.00%,5.49%,7.74,26.83
2023-04-01T08,15.64%,25.34%,57.37%,0.00%,1.65%,7.95,27.43
2023-04-01T09,15.92%,25.37%,58.47%,0.00%,0.25%,8.07,27.87
2023-04-01T10,15.87%,25.07%,58.47%,0.00%,0.58%,8.04,27.77
2023-04-01T11,15.83%,25.43%,57.65%,0.00%,1.09%,8.04,27.75
2023-04-01T12,15.83%,26.40%,55.63%,0.00%,2.15%,8.08,27.83
2023-04-01T13,15.43%,26.73%,54.06%,0.00%,3.78%,7.93,27.23
2023-04-01T14,14.54%,22.87%,50.97%,0.00%,11.63%,7.36,25.43
2023-04-01T15,13.85%,23.06%,49.03%,0.00%,14.05%,7.07,24.36
2023-04-01T16,13.80%,22.03%,48.40%,0.00%,15.77%,7.00,24.17
2023-04-01T17,13.59%,22.46%,47.98%,0.00%,15.97%,6.93,23.88
2023-04-01T18,13.74%,22.37%,48.48%,0.00%,15.40%,6.99,24.11
2023-04-01T19,13.89%,23.00%,48.95%,0.00%,14.17%,7.08,24.40
2023-04-01T20,13.81%,24.22%,48.70%,0.00%,13.27%,7.11,24.40
2023-04-01T21,13.49%,23.20%,47.85%,0.00%,15.46%,6.92,23.79
2023-04-01T22,13.35%,23.24%,47.07%,0.00%,16.34%,6.86,23.57
2023-04-01T23,13.39%,21.66%,47.35%,0.00%,17.61%,6.80,23.47
2023-04-02T00,13.51%,22.68%,47.72%,0.00%,16.09%,6.90,23.77
2023-04-02T01,13.03%,26.94%,46.29%,0.00%,13.74%,6.90,23.41
2023-04-02T02,13.13%,25.97%,46.98%,0.00%,13.93%,6.90,23.48
2023-04-02T03,13.72%,24.52%,49.11%,0.00%,12.65%,7.08,24.29
2023-04-02T04,14.44%,24.48%,51.37%,0.00%,9.72%,7.39,25.42
2023-04-02T05,15.09%,26.10%,53.97%,0.00%,4.84%,7.75,26.62
2023-04-02T06,15.65%,26.38%,56.01%,0.00%,1.97%,8.00,27.55
2023-04-02T07,15.90%,26.90%,56.92%,0.00%,0.28%,8.14,27.99
2023-04-02T08,16.07%,25.92%,57.65%,0.00%,0.36%,8.16,28.17
2023-04-02T09,15.88%,27.04%,56.86%,0.00%,0.22%,8.13,27.98
2023-04-02T10,15.43%,28.18%,55.25%,0.00%,1.14%,7.99,27.37
2023-04-02T11,14.53%,29.76%,51.97%,0.00%,3.74%,7.68,26.09
2023-04-02T12,13.41%,29.90%,48.58%,0.00%,8.11%,7.21,24.32
2023-04-02T13,12.85%,26.49%,46.20%,0.00%,14.46%,6.80,23.09
2023-04-02T14,12.71%,24.73%,45.48%,0.00%,17.08%,6.66,22.69
2023-04-02T15,13.14%,22.71%,46.77%,0.00%,17.38%,6.75,23.18
2023-04-02T16,13.62%,21.69%,48.72%,0.00%,15.97%,6.90,23.85
2023-04-02T17,13.82%,23.10%,50.41%,0.00%,12.67%,7.06,24.30
2023-04-02T18,13.34%,23.48%,52.06%,0.00%,11.12%,6.87,23.58
2023-04-02T19,12.09%,24.87%,52.53%,0.00%,10.51%,6.40,21.71
2023-04-02T20,10.98%,25.54%,52.59%,0.00%,10.89%,5.95,20.01
2023-04-02T21,10.68%,26.50%,51.39%,0.00%,11.42%,5.87,19.63
2023-04-02T22,10.43%,28.35%,49.82%,0.00%,11.40%,5.85,19.41
2023-04-02T23,9.99%,27.02%,47.99%,0.00%,15.00%,5.60,18.58
2023-04-03T00,9.86%,27.08%,47.04%,0.00%,16.03%,5.54,18.37
2023-04-03T01,10.22%,27.05%,45.75%,0.00%,16.98%,5.70,18.94
2023-04-03T02,10.41%,25.75%,46.47%,0.00%,17.36%,5.72,19.13
2023-04-03T03,10.51%,24.92%,50.05%,0.00%,14.53%,5.72,19.20
2023-04-03T04,10.98%,25.80%,53.63%,0.00%,9.59%,5.97,20.04
2023-04-03T05,11.49%,28.25%,56.20%,0.00%,4.05%,6.30,21.10
2023-04-03T06,11.82%,29.92%,57.60%,0.00%,0.67%,6.52,21.77
2023-04-03T07,12.08%,28.40%,59.09%,0.00%,0.43%,6.56,22.04
2023-04-03T08,11.95%,28.67%,58.53%,0.00%,0.85%,6.52,21.87
2023-04-03T09,11.73%,30.37%,57.40%,0.00%,0.51%,6.50,21.67
2023-04-03T10,11.11%,31.66%,54.36%,0.00%,2.88%,6.30,20.81
2023-04-03T11,10.77%,30.43%,49.75%,0.00%,9.06%,6.09,20.14
2023-04-03T12,13.54%,28.50%,44.60%,0.00%,13.36%,7.19,24.38
2023-04-03T13,14.21%,28.00%,43.66%,0.00%,14.12%,7.46,25.41
2023-04-03T14,14.20%,28.16%,42.87%,0.00%,14.77%,7.46,25.40
2023-04-03T15,14.45%,27.91%,43.07%,0.00%,14.57%,7.56,25.78
2023-04-03T16,14.64%,27.63%,43.60%,0.00%,14.13%,7.63,26.05
2023-04-03T17,14.42%,28.11%,44.03%,0.00%,13.45%,7.56,25.75
2023-04-03T18,14.49%,28.63%,44.55%,0.00%,12.33%,7.61,25.91
2023-04-03T19,14.93%,29.17%,45.63%,0.00%,10.27%,7.83,26.66
2023-04-03T20,15.62%,27.29%,46.09%,0.00%,10.99%,8.03,27.59
2023-04-03T21,15.51%,26.82%,46.12%,0.00%,11.55%,7.96,27.36
2023-04-03T22,15.22%,25.85%,45.48%,0.00%,13.45%,7.79,26.81
2023-04-03T23,15.04%,25.23%,44.99%,0.00%,14.74%,7.69,26.46
2023-04-04T00,14.68%,27.22%,44.18%,0.00%,13.92%,7.63,26.08
2023-04-04T01,14.81%,27.72%,43.08%,0.00%,14.40%,7.70,26.33
2023-04-04T02,14.28%,25.59%,44.21%,0.00%,15.92%,7.38,25.28
2023-04-04T03,14.68%,26.00%,45.72%,0.00%,13.59%,7.57,25.97
2023-04-04T04,15.25%,27.56%,47.33%,0.00%,9.86%,7.89,27.02
2023-04-04T05,16.18%,25.73%,50.54%,0.00%,7.55%,8.20,28.33
2023-04-04T06,16.19%,27.19%,53.02%,0.00%,3.60%,8.28,28.49
2023-04-04T07,16.08%,28.66%,54.20%,0.00%,1.07%,8.30,28.45
2023-04-04T08,16.42%,28.35%,55.14%,0.00%,0.10%,8.43,28.96
2023-04-04T09,16.59%,28.74%,54.84%,0.00%,-0.17%,8.52,29.28
2023-04-04T10,16.39%,30.17%,52.93%,0.00%,0.50%,8.51,29.10
2023-04-04T11,16.34%,31.86%,49.03%,0.00%,2.77%,8.56,29.18
2023-04-04T12,15.67%,30.31%,46.08%,0.00%,7.94%,8.20,27.97
2023-04-04T13,14.98%,29.51%,44.46%,0.00%,11.04%,7.87,26.79
2023-04-04T14,14.79%,28.69%,44.39%,0.00%,12.13%,7.74,26.40
2023-04-04T15,14.91%,26.80%,45.19%,0.00%,13.10%,7.70,26.40
2023-04-04T16,14.90%,28.50%,45.04%,0.00%,11.57%,7.78,26.55
2023-04-04T17,14.22%,28.92%,44.45%,0.00%,12.41%,7.51,25.51
2023-04-04T18,14.14%,29.93%,43.21%,0.00%,12.72%,7.53,25.49
2023-04-04T19,14.09%,30.42%,42.14%,0.00%,13.34%,7.53,25.46
2023-04-04T20,13.71%,31.04%,40.95%,0.00%,14.30%,7.39,24.91
2023-04-04T21,13.39%,30.23%,39.82%,0.00%,16.56%,7.22,24.32
2023-04-04T22,12.75%,29.54%,38.69%,0.00%,19.03%,6.90,23.22
2023-04-04T23,13.25%,29.26%,38.40%,0.00%,19.09%,7.11,23.99
2023-04-05T00,13.49%,29.86%,38.25%,0.00%,18.40%,7.24,24.43
2023-04-05T01,14.18%,30.29%,37.63%,0.00%,17.90%,7.56,25.57
2023-04-05T02,14.34%,30.74%,38.24%,0.00%,16.68%,7.65,25.88
2023-04-05T03,14.75%,29.65%,41.22%,0.00%,14.37%,7.77,26.44
2023-04-05T04,15.45%,29.83%,44.65%,0.00%,10.07%,8.08,27.57
2023-04-05T05,15.51%,29.25%,47.70%,0.00%,7.54%,8.08,27.61
2023-04-05T06,14.56%,30.08%,50.72%,0.00%,4.65%,7.71,26.16
2023-04-05T07,14.88%,33.54%,51.57%,0.00%,0.01%,8.01,27.01
2023-04-05T08,15.49%,31.17%,53.07%,0.00%,0.27%,8.16,27.76
2023-04-05T09,15.88%,30.97%,53.07%,0.00%,0.07%,8.32,28.36
2023-04-05T10,15.78%,30.95%,52.70%,0.00%,0.57%,8.28,28.19
2023-04-05T11,13.91%,34.85%,49.47%,0.00%,1.77%,7.66,25.60
2023-04-05T12,13.18%,34.70%,47.01%,0.00%,5.11%,7.34,24.41
2023-04-05T13,13.78%,31.87%,45.17%,0.00%,9.18%,7.46,25.10
2023-04-05T14,13.64%,32.57%,43.57%,0.00%,10.21%,7.44,24.95
2023-04-05T15,13.62%,32.02%,42.29%,0.00%,12.08%,7.40,24.85
2023-04-05T16,13.31%,31.64%,40.12%,0.00%,14.92%,7.25,24.32
2023-04-05T17,13.24%,32.57%,38.56%,0.00%,15.63%,7.26,24.31
2023-04-05T18,12.89%,34.57%,37.35%,0.00%,15.19%,7.21,23.93
2023-04-05T19,12.55%,34.69%,36.88%,0.00%,15.89%,7.07,23.40
2023-04-05T20,12.46%,34.50%,36.62%,0.00%,16.42%,7.02,23.24
2023-04-05T21,12.52%,34.43%,36.48%,0.00%,16.58%,7.04,23.33
2023-04-05T22,12.35%,34.64%,36.42%,0.00%,16.59%,6.98,23.08
2023-04-05T23,12.35%,33.58%,37.16%,0.00%,16.92%,6.93,22.97
2023-04-06T00,12.50%,33.33%,37.70%,0.00%,16.47%,6.98,23.19
2023-04-06T01,13.15%,32.38%,38.28%,0.00%,16.19%,7.21,24.14
2023-04-06T02,14.30%,29.88%,40.62%,0.00%,15.19%,7.59,25.74
2023-04-06T03,17.04%,29.11%,43.82%,0.00%,10.03%,8.73,30.03
2023-04-06T04,17.76%,26.83%,47.63%,0.00%,7.78%,8.93,30.95
2023-04-06T05,18.95%,29.13%,50.70%,0.00%,1.23%,9.55,33.07
2023-04-06T06,20.09%,27.19%,54.66%,0.00%,-1.94%,9.95,34.71
2023-04-06T07,18.48%,26.75%,57.13%,0.00%,-2.37%,9.24,32.11
2023-04-06T08,18.81%,24.46%,58.50%,0.00%,-1.77%,9.27,32.40
2023-04-06T09,18.69%,24.53%,58.60%,0.00%,-1.82%,9.22,32.22
2023-04-06T10,17.15%,26.98%,56.95%,0.00%,-1.08%,8.68,30.00
2023-04-06T11,15.84%,29.36%,52.83%,0.00%,1.96%,8.23,28.14
2023-04-06T12,14.85%,28.12%,47.53%,0.00%,9.50%,7.74,26.44
2023-04-06T13,14.22%,27.40%,45.00%,0.00%,13.38%,7.44,25.37
2023-04-06T14,13.93%,25.85%,43.72%,0.00%,16.50%,7.24,24.74
2023-04-06T15,13.70%,24.48%,42.94%,0.00%,18.88%,7.07,24.25
2023-04-06T16,13.51%,25.15%,42.43%,0.00%,18.91%,7.02,24.01
2023-04-06T17,13.62%,24.60%,41.66%,0.00%,20.12%,7.04,24.13
2023-04-06T18,15.12%,25.37%,41.65%,0.00%,17.86%,7.73,26.61
2023-04-06T19,15.93%,26.32%,41.49%,0.00%,16.26%,8.12,27.98
2023-04-06T20,16.00%,26.28%,41.37%,0.00%,16.35%,8.15,28.09
2023-04-06T21,15.97%,26.43%,41.43%,0.00%,16.17%,8.14,28.06
2023-04-06T22,15.86%,26.50%,41.05%,0.00%,16.60%,8.10,27.89
2023-04-06T23,15.68%,27.19%,40.57%,0.00%,16.56%,8.06,27.67
2023-04-07T00,15.66%,27.42%,41.04%,0.00%,15.88%,8.06,27.67
2023-04-07T01,15.42%,26.46%,40.71%,0.00%,17.41%,7.91,27.19
2023-04-07T02,15.28%,25.43%,41.48%,0.00%,17.81%,7.80,26.87
2023-04-07T03,15.81%,25.58%,43.52%,0.00%,15.10%,8.03,27.72
2023-04-07T04,16.80%,25.88%,46.75%,0.00%,10.58%,8.47,29.33
2023-04-07T05,16.55%,27.13%,49.17%,0.00%,7.15%,8.43,29.05
2023-04-07T06,17.02%,28.77%,52.22%,0.00%,1.98%,8.71,29.97
2023-04-07T07,17.62%,28.07%,53.91%,0.00%,0.39%,8.94,30.86
2023-04-07T08,18.02%,28.84%,55.20%,0.00%,-2.06%,9.14,31.57
2023-04-07T09,17.95%,28.90%,55.27%,0.00%,-2.12%,9.12,31.47
2023-04-07T10,17.78%,29.02%,54.57%,0.00%,-1.37%,9.05,31.20
2023-04-07T11,16.30%,28.22%,50.09%,0.00%,5.39%,8.37,28.77
2023-04-07T12,15.90%,27.25%,46.22%,0.00%,10.63%,8.15,28.03
2023-04-07T13,16.09%,27.51%,44.63%,0.00%,11.77%,8.25,28.36
2023-04-07T14,15.68%,26.90%,42.99%,0.00%,14.43%,8.04,27.64
2023-04-07T15,15.43%,26.74%,42.37%,0.00%,15.47%,7.92,27.22
2023-04-07T16,15.18%,27.10%,42.10%,0.00%,15.62%,7.83,26.86
2023-04-07T17,14.74%,26.48%,42.62%,0.00%,16.16%,7.62,26.10
2023-04-07T18,14.96%,26.33%,43.89%,0.00%,14.82%,7.70,26.44
2023-04-07T19,15.46%,26.29%,44.90%,0.00%,13.34%,7.92,27.24
2023-04-07T20,15.63%,25.78%,45.31%,0.00%,13.29%,7.96,27.45
2023-04-07T21,16.20%,25.49%,45.51%,0.00%,12.80%,8.20,28.34
2023-04-07T22,16.04%,25.04%,45.03%,0.00%,13.89%,8.11,28.04
2023-04-07T23,15.18%,25.21%,44.64%,0.00%,14.98%,7.74,26.68
2023-04-08T00,15.18%,24.04%,44.57%,0.00%,16.21%,7.69,26.57
2023-04-08T01,15.28%,25.39%,42.80%,0.00%,16.53%,7.80,26.87
2023-04-08T02,14.96%,24.06%,44.02%,0.00%,16.96%,7.59,26.21
2023-04-08T03,15.13%,27.74%,45.56%,0.00%,11.57%,7.85,26.85
2023-04-08T04,14.84%,28.33%,48.28%,0.00%,8.55%,7.75,26.44
2023-04-08T05,15.10%,25.84%,51.67%,0.00%,7.38%,7.74,26.62
2023-04-08T06,15.44%,30.53%,52.94%,0.00%,1.09%,8.11,27.62
2023-04-08T07,15.79%,32.00%,54.17%,0.00%,-1.96%,8.33,28.32
2023-04-08T08,16.06%,31.43%,54.81%,0.00%,-2.31%,8.42,28.70
2023-04-08T09,15.99%,31.70%,54.68%,0.00%,-2.38%,8.41,28.61
2023-04-08T10,15.63%,32.89%,53.68%,0.00%,-2.20%,8.31,28.15
2023-04-08T11,15.10%,33.03%,52.03%,0.00%,-0.16%,8.08,27.31
2023-04-08T12,14.14%,30.66%,48.94%,0.00%,6.26%,7.56,25.55
2023-04-08T13,13.50%,29.50%,46.71%,0.00%,10.29%,7.23,24.42
2023-04-08T14,12.82%,29.68%,44.36%,0.00%,13.14%,6.94,23.35
2023-04-08T15,12.57%,27.96%,43.44%,0.00%,16.03%,6.75,22.78
2023-04-08T16,12.44%,27.33%,43.18%,0.00%,17.05%,6.67,22.52
2023-04-08T17,12.47%,27.40%,42.99%,0.00%,17.15%,6.68,22.57
2023-04-08T18,12.55%,28.69%,43.54%,0.00%,15.22%,6.78,22.82
2023-04-08T19,12.74%,28.99%,44.10%,0.00%,14.17%,6.88,23.16
2023-04-08T20,12.93%,29.86%,44.64%,0.00%,12.57%,7.00,23.54
2023-04-08T21,13.03%,29.67%,45.02%,0.00%,12.29%,7.03,23.68
2023-04-08T22,13.02%,29.59%,44.92%,0.00%,12.47%,7.02,23.65
2023-04-08T23,12.97%,28.40%,44.95%,0.00%,13.69%,6.94,23.46
2023-04-09T00,12.76%,28.22%,44.09%,0.00%,14.93%,6.85,23.11
2023-04-09T01,12.68%,29.32%,43.15%,0.00%,14.85%,6.86,23.09
2023-04-09T02,13.05%,28.55%,43.91%,0.00%,14.48%,6.99,23.61
2023-04-09T03,13.62%,28.98%,45.83%,0.00%,11.58%,7.25,24.56
2023-04-09T04,14.26%,30.55%,47.85%,0.00%,7.34%,7.60,25.73
2023-04-09T05,14.83%,33.52%,49.82%,0.00%,1.83%,7.99,26.93
2023-04-09T06,15.45%,31.74%,51.74%,0.00%,1.07%,8.17,27.75
2023-04-09T07,15.71%,33.40%,52.92%,0.00%,-2.03%,8.36,28.32
2023-04-09T08,15.89%,33.10%,53.25%,0.00%,-2.23%,8.43,28.58
2023-04-09T09,15.67%,33.92%,52.70%,0.00%,-2.28%,8.37,28.30
2023-04-09T10,15.52%,33.76%,52.23%,0.00%,-1.51%,8.30,28.06
2023-04-09T11,14.83%,32.49%,50.07%,0.00%,2.62%,7.94,26.83
2023-04-09T12,14.21%,31.77%,48.04%,0.00%,5.97%,7.64,25.78
2023-04-09T13,13.68%,29.15%,46.18%,0.00%,10.99%,7.29,24.67
2023-04-09T14,13.33%,26.12%,45.11%,0.00%,15.43%,6.99,23.82
2023-04-09T15,13.59%,25.23%,45.85%,0.00%,15.33%,7.06,24.14
2023-04-09T16,14.12%,21.95%,47.57%,0.00%,16.35%,7.13,24.68
2023-04-09T17,14.38%,21.97%,48.44%,0.00%,15.22%,7.24,25.08
2023-04-09T18,14.65%,22.39%,49.39%,0.00%,13.57%,7.38,25.57
2023-04-09T19,15.26%,21.83%,51.36%,0.00%,11.54%,7.62,26.49
2023-04-09T20,15.35%,22.08%,51.60%,0.00%,10.97%,7.67,26.65
2023-04-09T21,15.29%,22.52%,51.21%,0.00%,10.97%,7.67,26.60
2023-04-09T22,15.00%,23.23%,50.11%,0.00%,11.66%,7.57,26.20
2023-04-09T23,14.59%,23.64%,48.99%,0.00%,12.78%,7.42,25.59
2023-04-10T00,14.30%,25.36%,47.84%,0.00%,12.51%,7.37,25.29
2023-04-10T01,13.75%,26.46%,46.02%,0.00%,13.77%,7.19,24.53
2023-04-10T02,13.84%,25.68%,46.26%,0.00%,14.22%,7.19,24.59
2023-04-10T03,14.50%,24.12%,48.15%,0.00%,13.23%,7.40,25.49
2023-04-10T04,15.73%,24.97%,52.20%,0.00%,7.09%,7.97,27.54
2023-04-10T05,16.63%,25.54%,55.09%,0.00%,2.74%,8.38,29.02
2023-04-10T06,17.45%,25.46%,57.09%,0.00%,0.00%,8.74,30.33
2023-04-10T07,18.06%,27.48%,57.82%,0.00%,-3.36%,9.10,31.50
2023-04-10T08,17.74%,28.78%,56.85%,0.00%,-3.38%,9.02,31.12
2023-04-10T09,17.13%,30.73%,55.00%,0.00%,-2.86%,8.85,30.33
2023-04-10T10,16.05%,32.37%,51.31%,0.00%,0.28%,8.46,28.77
2023-04-10T11,14.64%,30.51%,46.85%,0.00%,8.01%,7.76,26.33
2023-04-10T12,13.64%,28.59%,43.49%,0.00%,14.27%,7.25,24.56
2023-04-10T13,13.22%,26.38%,42.08%,0.00%,18.32%,6.96,23.66
2023-04-10T14,13.45%,24.25%,43.10%,0.00%,19.20%,6.95,23.83
2023-04-10T15,13.65%,25.69%,43.58%,0.00%,17.08%,7.11,24.28
2023-04-10T16,14.03%,26.16%,44.61%,0.00%,15.19%,7.30,24.95
2023-04-10T17,14.20%,25.55%,45.11%,0.00%,15.14%,7.34,25.15
2023-04-10T18,14.33%,25.62%,45.40%,0.00%,14.65%,7.40,25.36
2023-04-10T19,14.40%,27.04%,45.58%,0.00%,12.99%,7.50,25.61
2023-04-10T20,14.35%,28.20%,45.38%,0.00%,12.07%,7.53,25.65
2023-04-10T21,14.16%,28.36%,44.89%,0.00%,12.59%,7.46,25.37
2023-04-10T22,13.88%,27.81%,44.03%,0.00%,14.28%,7.31,24.87
2023-04-10T23,13.77%,27.36%,43.45%,0.00%,15.43%,7.24,24.64
2023-04-11T00,13.60%,27.27%,43.12%,0.00%,16.01%,7.16,24.37
2023-04-11T01,13.49%,27.13%,42.77%,0.00%,16.62%,7.11,24.17
2023-04-11T02,13.59%,26.95%,43.11%,0.00%,16.35%,7.14,24.31
2023-04-11T03,14.53%,26.54%,46.20%,0.00%,12.72%,7.53,25.78
2023-04-11T04,15.71%,27.18%,49.46%,0.00%,7.65%,8.07,27.72
2023-04-11T05,16.37%,26.36%,52.12%,0.00%,5.15%,8.31,28.70
2023-04-11T06,16.67%,29.42%,53.18%,0.00%,0.73%,8.59,29.47
2023-04-11T07,17.07%,29.92%,54.41%,0.00%,-1.40%,8.79,30.16
2023-04-11T08,17.09%,31.56%,54.47%,0.00%,-3.12%,8.87,30.35
2023-04-11T09,16.68%,32.22%,53.24%,0.00%,-2.14%,8.73,29.76
