period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-04T02,11.25%,13.88%,47.83%,0.00%,27.04%,5.51,19.30
2023-01-04T03,11.60%,13.87%,49.32%,0.00%,25.21%,5.66,19.87
2023-01-04T04,12.49%,15.97%,53.23%,0.00%,18.31%,6.15,21.50
2023-01-04T05,13.40%,15.93%,57.26%,0.00%,13.42%,6.53,22.93
2023-01-04T06,14.15%,15.63%,61.87%,0.00%,8.35%,6.84,24.11
2023-01-04T07,13.74%,18.12%,64.69%,0.00%,3.45%,6.79,23.69
2023-01-04T08,13.86%,18.63%,66.17%,0.00%,1.35%,6.86,23.93
2023-01-04T09,14.14%,17.38%,67.40%,0.00%,1.08%,6.92,24.26
2023-01-04T10,13.89%,17.98%,66.63%,0.00%,1.51%,6.84,23.91
2023-01-04T11,13.40%,18.42%,64.20%,0.00%,3.97%,6.66,23.19
2023-01-04T12,12.22%,18.46%,58.28%,0.00%,11.03%,6.15,21.31
2023-01-04T13,12.66%,19.21%,53.21%,0.00%,14.91%,6.37,22.08
2023-01-04T14,13.47%,17.90%,51.67%,0.00%,16.96%,6.66,23.24
2023-01-04T15,13.38%,17.24%,50.86%,0.00%,18.52%,6.59,23.04
2023-01-04T16,13.34%,16.04%,50.99%,0.00%,19.63%,6.52,22.86
2023-01-04T17,13.21%,16.23%,51.16%,0.00%,19.39%,6.47,22.66
2023-01-04T18,12.83%,15.61%,51.94%,0.00%,19.61%,6.28,22.00
2023-01-04T19,12.03%,16.68%,52.28%,0.00%,19.02%,5.98,20.82
2023-01-04T20,12.14%,15.85%,52.65%,0.00%,19.36%,5.99,20.91
2023-01-04T21,12.14%,15.15%,52.62%,0.00%,20.10%,5.95,20.84
2023-01-04T22,12.06%,14.86%,52.45%,0.00%,20.63%,5.90,20.69
2023-01-04T23,11.76%,16.07%,51.36%,0.00%,20.81%,5.83,20.33
