period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-07-26T14,17.19%,46.83%,26.89%,0.38%,8.70%,27.22,17.36
2023-07-26T15,17.53%,47.27%,25.77%,0.52%,8.91%,27.91,17.86
2023-07-26T16,18.30%,46.72%,24.59%,0.38%,10.01%,28.42,18.15
2023-07-26T17,18.23%,46.27%,23.49%,0.40%,11.60%,28.33,18.11
2023-07-26T18,18.07%,46.93%,22.92%,0.48%,11.60%,28.39,18.17
2023-07-26T19,18.56%,47.30%,22.52%,0.39%,11.23%,28.83,18.41
2023-07-26T20,19.40%,46.93%,22.19%,0.42%,11.06%,29.75,19.04
2023-07-26T21,19.36%,47.21%,22.09%,0.45%,10.89%,29.82,19.09
2023-07-26T22,19.97%,47.12%,22.27%,0.47%,10.18%,30.51,19.55
2023-07-26T23,20.41%,48.04%,22.48%,0.51%,8.55%,31.23,20.03
2023-07-27T00,20.16%,48.26%,23.45%,0.50%,7.63%,30.97,19.85
2023-07-27T01,19.75%,48.75%,24.19%,0.49%,6.82%,30.57,19.58
2023-07-27T02,20.05%,48.70%,25.78%,0.44%,5.03%,30.80,19.71
2023-07-27T03,20.29%,48.48%,26.92%,0.28%,4.03%,30.74,19.60
2023-07-27T04,19.84%,43.59%,31.16%,0.40%,5.02%,29.68,19.03
2023-07-27T05,20.20%,45.68%,29.64%,0.49%,3.99%,30.58,19.63
2023-07-27T06,19.43%,45.41%,30.73%,0.50%,3.92%,29.71,19.07
2023-07-27T07,19.19%,45.24%,31.31%,0.51%,3.74%,29.44,18.89
2023-07-27T08,18.81%,45.61%,31.49%,0.52%,3.58%,29.08,18.65
2023-07-27T09,19.11%,45.93%,30.97%,0.51%,3.48%,29.44,18.89
2023-07-27T10,19.78%,46.77%,29.68%,0.51%,3.26%,30.32,19.45
2023-07-27T11,19.88%,46.67%,28.85%,0.63%,3.97%,30.64,19.71
2023-07-27T12,19.58%,46.77%,27.88%,0.61%,5.16%,30.29,19.47
2023-07-27T13,19.20%,47.78%,26.68%,0.78%,5.56%,30.33,19.55
2023-07-27T14,19.55%,48.62%,24.88%,0.91%,6.04%,31.10,20.09
2023-07-27T15,19.32%,49.48%,23.90%,1.07%,6.23%,31.26,20.25
2023-07-27T16,19.82%,48.61%,22.73%,1.12%,7.72%,31.77,20.62
2023-07-27T17,19.83%,48.56%,22.10%,1.14%,8.37%,31.82,20.66
2023-07-27T18,20.13%,48.66%,21.62%,1.21%,8.37%,32.30,21.00
2023-07-27T19,20.29%,48.37%,21.35%,1.24%,8.75%,32.49,21.14
2023-07-27T20,20.47%,48.70%,21.13%,1.24%,8.46%,32.74,21.31
2023-07-27T21,20.52%,49.00%,21.03%,1.35%,8.09%,33.05,21.55
2023-07-27T22,20.80%,49.55%,21.20%,1.39%,7.06%,33.51,21.86
2023-07-27T23,20.98%,50.22%,21.45%,1.37%,5.98%,33.79,22.02
2023-07-28T00,20.91%,50.13%,22.28%,1.32%,5.36%,33.59,21.87
2023-07-28T01,20.44%,51.29%,22.80%,1.32%,4.15%,33.26,21.63
2023-07-28T02,20.26%,51.48%,24.21%,1.06%,2.99%,32.61,21.10
2023-07-28T03,20.16%,50.48%,25.37%,0.77%,3.21%,31.81,20.48
2023-07-28T04,21.34%,46.14%,28.23%,0.46%,3.82%,31.88,20.47
2023-07-28T05,20.53%,46.18%,29.24%,0.68%,3.37%,31.39,20.23
2023-07-28T06,19.08%,46.07%,30.51%,0.72%,3.62%,29.82,19.21
2023-07-28T07,18.83%,44.73%,31.45%,0.77%,4.23%,29.42,18.99
2023-07-28T08,18.70%,44.23%,31.78%,0.83%,4.47%,29.30,18.95
2023-07-28T09,18.43%,43.71%,31.48%,0.91%,5.48%,29.07,18.83
2023-07-28T10,18.26%,45.10%,30.56%,1.00%,5.07%,29.27,18.98
2023-07-28T11,18.19%,44.84%,29.82%,1.18%,5.97%,29.48,19.19
2023-07-28T12,18.01%,46.57%,28.15%,0.75%,6.52%,28.77,18.52
2023-07-28T13,18.69%,47.10%,26.95%,0.64%,6.62%,29.41,18.90
2023-07-28T14,18.14%,48.03%,25.35%,0.63%,7.85%,28.91,18.55
2023-07-28T15,18.21%,48.77%,24.20%,0.65%,8.16%,29.16,18.71
2023-07-28T16,18.65%,48.62%,23.36%,0.73%,8.64%,29.75,19.13
2023-07-28T17,18.47%,48.67%,22.88%,0.78%,9.20%,29.66,19.09
2023-07-28T18,18.82%,48.58%,22.38%,0.78%,9.43%,30.04,19.34
2023-07-28T19,19.18%,48.20%,22.03%,0.80%,9.78%,30.43,19.61
2023-07-28T20,19.30%,48.11%,21.86%,0.94%,9.79%,30.79,19.91
2023-07-28T21,20.02%,48.12%,21.72%,0.95%,9.18%,31.62,20.46
2023-07-28T22,19.78%,48.67%,22.01%,1.01%,8.53%,31.53,20.42
2023-07-28T23,20.15%,49.52%,22.57%,0.90%,6.85%,31.89,20.59
2023-07-29T00,18.78%,50.19%,23.47%,0.79%,6.78%,30.26,19.47
2023-07-29T01,18.44%,50.08%,24.34%,0.67%,6.46%,29.65,19.02
2023-07-29T02,18.64%,49.50%,26.04%,0.54%,5.27%,29.55,18.91
2023-07-29T03,18.34%,47.90%,27.25%,0.50%,6.00%,28.88,18.48
2023-07-29T04,20.83%,48.32%,26.95%,0.73%,3.16%,32.14,20.71
2023-07-29T05,18.33%,44.71%,30.20%,0.38%,6.38%,28.14,17.99
2023-07-29T06,18.36%,44.92%,31.28%,0.39%,5.05%,28.22,18.05
2023-07-29T07,18.65%,43.31%,32.34%,0.40%,5.30%,28.32,18.14
2023-07-29T08,18.50%,44.29%,32.77%,0.41%,4.03%,28.33,18.14
2023-07-29T09,18.62%,43.99%,33.21%,0.42%,3.76%,28.43,18.21
2023-07-29T10,18.41%,43.56%,33.50%,0.42%,4.10%,28.14,18.03
2023-07-29T11,18.28%,42.93%,33.38%,0.42%,4.98%,27.89,17.87
2023-07-29T12,17.76%,44.24%,31.79%,0.40%,5.81%,27.47,17.57
2023-07-29T13,17.28%,44.85%,30.42%,0.38%,7.07%,27.00,17.24
2023-07-29T14,16.62%,47.00%,28.69%,0.37%,7.32%,26.58,16.93
2023-07-29T15,16.52%,47.97%,27.51%,0.57%,7.43%,26.99,17.27
2023-07-29T16,17.00%,47.09%,26.51%,0.54%,8.87%,27.33,17.48
2023-07-29T17,16.78%,46.29%,25.52%,0.54%,10.88%,26.96,17.26
2023-07-29T18,17.48%,46.34%,24.79%,0.54%,10.86%,27.74,17.77
2023-07-29T19,17.59%,46.64%,24.39%,0.57%,10.82%,27.97,17.93
2023-07-29T20,17.76%,46.51%,24.27%,0.63%,10.83%,28.26,18.14
2023-07-29T21,17.46%,46.62%,24.50%,0.79%,10.63%,28.23,18.19
2023-07-29T22,17.39%,47.10%,24.96%,0.94%,9.60%,28.51,18.42
2023-07-29T23,17.35%,47.69%,25.82%,1.03%,8.11%,28.72,18.59
2023-07-30T00,17.69%,48.53%,27.00%,0.94%,5.85%,29.05,18.76
2023-07-30T01,17.79%,49.05%,27.76%,0.74%,4.66%,28.89,18.56
2023-07-30T02,18.16%,49.06%,29.24%,0.40%,3.13%,28.68,18.29
2023-07-30T03,17.90%,48.08%,30.87%,0.20%,2.95%,27.87,17.69
2023-07-30T04,18.69%,45.73%,28.94%,0.47%,6.18%,28.86,18.49
2023-07-30T05,18.05%,45.60%,33.73%,0.22%,2.40%,27.67,17.61
2023-07-30T06,17.89%,44.88%,34.64%,0.22%,2.37%,27.39,17.44
2023-07-30T07,18.01%,43.55%,35.92%,0.23%,2.28%,27.34,17.43
2023-07-30T08,18.09%,42.87%,36.63%,0.24%,2.18%,27.32,17.43
2023-07-30T09,18.55%,41.03%,37.71%,0.25%,2.46%,27.57,17.62
2023-07-30T10,18.57%,41.07%,37.70%,0.25%,2.41%,27.60,17.65
2023-07-30T11,18.37%,40.35%,37.39%,0.25%,3.64%,27.26,17.43
2023-07-30T12,17.76%,39.76%,36.13%,0.24%,6.11%,26.48,16.92
2023-07-30T13,17.19%,41.19%,34.56%,0.23%,6.84%,26.05,16.61
2023-07-30T14,16.71%,42.73%,33.40%,0.22%,6.93%,25.74,16.38
2023-07-30T15,16.34%,43.40%,31.80%,0.23%,8.23%,25.45,16.19
2023-07-30T16,17.03%,43.33%,30.74%,0.41%,8.48%,26.53,16.97
2023-07-30T17,17.70%,43.79%,30.00%,0.38%,8.12%,27.31,17.46
2023-07-30T18,17.58%,43.27%,28.84%,0.40%,9.91%,27.12,17.35
2023-07-30T19,17.75%,43.46%,28.15%,0.39%,10.26%,27.31,17.47
2023-07-30T20,18.46%,43.22%,27.27%,0.37%,10.68%,28.05,17.95
2023-07-30T21,18.96%,43.45%,26.76%,0.37%,10.47%,28.63,18.33
2023-07-30T22,20.08%,44.09%,26.58%,0.37%,8.89%,29.97,19.20
2023-07-30T23,19.62%,44.90%,27.40%,0.38%,7.70%,29.61,18.96
2023-07-31T00,19.73%,45.92%,28.46%,0.39%,5.50%,29.91,19.15
2023-07-31T01,19.72%,45.96%,29.21%,0.40%,4.71%,29.93,19.16
2023-07-31T02,19.71%,45.95%,30.90%,0.20%,3.23%,29.55,18.83
2023-07-31T03,19.30%,45.33%,32.52%,0.21%,2.64%,29.01,18.49
2023-07-31T04,18.11%,46.84%,32.46%,0.21%,2.39%,27.92,17.75
2023-07-31T05,18.22%,43.76%,35.42%,0.24%,2.36%,27.61,17.60
2023-07-31T06,18.19%,43.00%,36.22%,0.24%,2.35%,27.47,17.52
2023-07-31T07,18.57%,41.67%,37.08%,0.25%,2.43%,27.70,17.70
2023-07-31T08,18.50%,41.92%,37.10%,0.25%,2.22%,27.66,17.67
2023-07-31T09,18.20%,43.10%,36.31%,0.25%,2.14%,27.51,17.55
2023-07-31T10,18.24%,44.22%,35.01%,0.24%,2.28%,27.72,17.67
2023-07-31T11,17.90%,44.86%,33.91%,0.23%,3.10%,27.42,17.46
2023-07-31T12,17.51%,44.89%,32.64%,0.22%,4.73%,26.97,17.16
2023-07-31T13,17.42%,45.21%,31.25%,0.21%,5.91%,26.89,17.10
2023-07-31T14,17.84%,45.56%,29.81%,0.20%,6.58%,27.41,17.43
2023-07-31T15,18.48%,45.57%,28.76%,0.21%,7.00%,28.12,17.90
2023-07-31T16,18.19%,46.66%,27.57%,0.44%,7.14%,28.41,18.16
2023-07-31T17,18.09%,47.33%,26.67%,0.44%,7.47%,28.40,18.15
2023-07-31T18,17.62%,46.56%,26.25%,0.41%,9.17%,27.69,17.68
2023-07-31T19,17.83%,46.74%,25.80%,0.35%,9.28%,27.86,17.77
2023-07-31T20,18.21%,47.18%,25.51%,0.36%,8.73%,28.37,18.10
2023-07-31T21,18.95%,47.14%,25.24%,0.34%,8.32%,29.16,18.61
2023-07-31T22,19.65%,47.16%,25.28%,0.33%,7.59%,29.91,19.10
