period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-09-23T09,11.47%,40.41%,9.94%,0.00%,38.18%,13.46,8.60
2023-09-23T10,11.27%,40.84%,10.10%,0.00%,37.80%,13.38,8.54
2023-09-23T11,11.45%,41.80%,10.19%,0.00%,36.56%,13.64,8.70
2023-09-23T12,12.54%,42.17%,10.16%,0.00%,35.13%,14.43,9.24
2023-09-23T13,13.21%,42.64%,10.08%,0.00%,34.06%,14.95,9.59
2023-09-23T14,11.57%,40.04%,9.56%,0.00%,38.83%,13.47,8.62
2023-09-23T15,10.01%,36.73%,8.83%,0.00%,44.44%,11.96,7.62
2023-09-23T16,13.25%,37.24%,8.17%,0.00%,41.34%,14.20,9.18
2023-09-23T17,15.80%,41.42%,7.65%,0.00%,35.13%,16.50,10.70
2023-09-23T18,15.66%,48.27%,7.19%,0.00%,28.88%,17.39,11.19
2023-09-23T19,14.82%,51.75%,6.90%,0.00%,26.52%,17.33,11.08
2023-09-23T20,14.74%,53.24%,6.67%,0.00%,25.35%,17.49,11.16
2023-09-23T21,14.94%,53.51%,6.53%,0.00%,25.03%,17.65,11.27
2023-09-23T22,15.08%,54.40%,6.46%,0.00%,24.05%,17.88,11.41
2023-09-23T23,15.08%,55.16%,6.50%,0.00%,23.26%,17.99,11.47
2023-09-24T00,16.28%,59.42%,6.79%,0.00%,17.51%,19.40,12.37
2023-09-24T01,17.04%,62.30%,7.06%,0.00%,13.59%,20.32,12.96
2023-09-24T02,16.87%,59.90%,7.18%,0.00%,16.04%,19.87,12.69
2023-09-24T03,17.36%,58.05%,7.45%,0.00%,17.15%,19.92,12.77
2023-09-24T04,18.23%,53.48%,7.76%,0.00%,20.53%,19.85,12.81
2023-09-24T05,18.60%,48.51%,8.14%,0.00%,24.75%,19.38,12.58
2023-09-24T06,18.56%,45.37%,8.59%,0.00%,27.48%,18.91,12.31
2023-09-24T07,18.42%,44.33%,9.05%,0.00%,28.20%,18.66,12.16
2023-09-24T08,17.90%,44.16%,9.35%,0.00%,28.58%,18.30,11.91
2023-09-24T09,17.03%,43.89%,9.62%,0.00%,29.46%,17.67,11.48
2023-09-24T10,17.28%,45.49%,9.87%,0.00%,27.37%,18.07,11.72
2023-09-24T11,17.80%,47.00%,10.03%,0.00%,25.17%,18.64,12.09
2023-09-24T12,18.95%,47.93%,10.07%,0.00%,23.05%,19.54,12.70
2023-09-24T13,20.03%,47.96%,10.12%,0.00%,21.89%,20.26,13.20
2023-09-24T14,18.43%,45.36%,9.61%,0.00%,26.60%,18.82,12.25
2023-09-24T15,13.90%,42.73%,8.89%,0.00%,34.48%,15.42,9.92
2023-09-24T16,16.27%,43.02%,8.29%,0.00%,32.42%,17.04,11.05
2023-09-24T17,17.75%,47.59%,7.74%,0.00%,26.92%,18.69,12.11
2023-09-24T18,17.13%,51.85%,7.29%,0.00%,23.73%,18.88,12.16
2023-09-24T19,16.40%,53.97%,6.92%,0.00%,22.72%,18.70,11.99
2023-09-24T20,15.22%,55.61%,6.68%,0.00%,22.49%,18.14,11.57
2023-09-24T21,15.36%,56.50%,6.56%,0.00%,21.58%,18.36,11.71
2023-09-24T22,15.34%,56.75%,6.51%,0.00%,21.40%,18.39,11.72
2023-09-24T23,15.42%,57.89%,6.54%,0.00%,20.15%,18.61,11.85
2023-09-25T00,16.71%,60.43%,6.76%,0.00%,16.10%,19.83,12.65
2023-09-25T01,17.20%,61.60%,7.02%,0.00%,14.18%,20.32,12.98
2023-09-25T02,16.94%,56.79%,7.17%,0.00%,19.10%,19.46,12.47
2023-09-25T03,16.75%,51.76%,7.54%,0.00%,23.94%,18.62,11.98
2023-09-25T04,16.90%,47.15%,8.00%,0.00%,27.94%,18.06,11.68
