period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-01T00,15.47%,33.96%,12.46%,0.00%,38.12%,15.21,9.95
2023-01-01T01,14.33%,30.60%,12.24%,0.00%,42.82%,13.96,9.15
2023-01-01T02,12.07%,24.76%,12.41%,0.00%,50.75%,11.62,7.62
2023-01-01T03,11.88%,22.14%,12.63%,0.00%,53.36%,11.11,7.32
2023-01-01T04,12.09%,19.20%,12.84%,0.00%,55.86%,10.84,7.19
2023-01-01T05,11.66%,16.85%,13.23%,0.00%,58.26%,10.21,6.80
2023-01-01T06,10.83%,16.72%,13.61%,0.00%,58.85%,9.63,6.40
2023-01-01T07,9.98%,16.05%,14.03%,0.00%,59.93%,8.97,5.95
2023-01-01T08,9.71%,15.59%,14.27%,0.00%,60.43%,8.72,5.78
2023-01-01T09,9.82%,15.68%,14.51%,0.00%,59.98%,8.81,5.85
2023-01-01T10,9.94%,16.03%,14.68%,0.00%,59.35%,8.94,5.93
2023-01-01T11,9.93%,16.25%,14.75%,0.00%,59.07%,8.96,5.94
2023-01-01T12,9.96%,17.26%,14.72%,0.00%,58.07%,9.13,6.04
2023-01-01T13,10.44%,19.76%,14.43%,0.00%,55.37%,9.81,6.46
2023-01-01T14,11.70%,23.45%,14.21%,0.00%,50.64%,11.18,7.35
2023-01-01T15,12.84%,24.31%,14.01%,0.00%,48.85%,12.06,7.95
2023-01-01T16,11.79%,24.13%,13.72%,0.00%,50.36%,11.34,7.44
2023-01-01T17,12.99%,29.40%,13.64%,0.00%,43.97%,12.90,8.43
2023-01-01T18,13.42%,31.26%,13.64%,0.00%,41.69%,13.45,8.78
2023-01-01T19,12.64%,31.49%,13.39%,0.00%,42.48%,12.96,8.43
2023-01-01T20,13.60%,34.54%,13.27%,0.00%,38.59%,14.04,9.12
2023-01-01T21,14.02%,36.10%,13.18%,0.00%,36.69%,14.55,9.45
2023-01-01T22,13.66%,38.08%,12.94%,0.00%,35.32%,14.59,9.44
2023-01-01T23,15.42%,40.90%,12.87%,0.00%,30.81%,16.17,10.48
2023-01-02T00,16.61%,42.22%,12.70%,0.00%,28.47%,17.15,11.15
2023-01-02T01,13.76%,35.13%,12.25%,0.00%,38.86%,14.23,9.25
2023-01-02T02,11.07%,27.33%,12.34%,0.00%,49.26%,11.32,7.36
2023-01-02T03,10.68%,24.42%,12.39%,0.00%,52.50%,10.64,6.95
2023-01-02T04,11.12%,20.27%,12.63%,0.00%,55.97%,10.34,6.82
2023-01-02T05,10.77%,15.64%,12.91%,0.00%,60.68%,9.44,6.28
2023-01-02T06,9.85%,14.65%,13.41%,0.00%,62.09%,8.68,5.78
2023-01-02T07,9.72%,14.65%,13.89%,0.00%,61.74%,8.59,5.71
2023-01-02T08,9.70%,14.99%,14.23%,0.00%,61.08%,8.63,5.73
2023-01-02T09,9.74%,15.18%,14.42%,0.00%,60.66%,8.68,5.77
2023-01-02T10,9.89%,15.54%,14.64%,0.00%,59.94%,8.84,5.87
2023-01-02T11,9.89%,15.85%,14.63%,0.00%,59.64%,8.88,5.89
2023-01-02T12,9.81%,16.35%,14.49%,0.00%,59.35%,8.90,5.89
2023-01-02T13,9.37%,16.90%,13.83%,0.00%,59.89%,8.69,5.73
2023-01-02T14,9.51%,19.10%,13.35%,0.00%,58.05%,9.09,5.97
2023-01-02T15,11.07%,23.24%,13.06%,0.00%,52.63%,10.73,7.03
2023-01-02T16,11.29%,25.04%,12.53%,0.00%,51.14%,11.13,7.28
2023-01-02T17,11.59%,25.33%,12.20%,0.00%,50.87%,11.38,7.45
2023-01-02T18,11.42%,24.30%,11.91%,0.00%,52.36%,11.12,7.28
2023-01-02T19,10.43%,21.49%,11.67%,0.00%,56.41%,10.05,6.59
2023-01-02T20,10.03%,22.78%,11.45%,0.00%,55.74%,9.97,6.51
2023-01-02T21,10.18%,22.84%,11.42%,0.00%,55.56%,10.08,6.59
2023-01-02T22,11.01%,22.96%,11.31%,0.00%,54.72%,10.65,6.99
2023-01-02T23,11.30%,22.98%,11.27%,0.00%,54.45%,10.85,7.12
2023-01-03T00,11.88%,25.18%,11.07%,0.00%,51.88%,11.55,7.57
2023-01-03T01,14.63%,26.76%,10.94%,0.00%,47.67%,13.61,8.98
2023-01-03T02,15.19%,27.54%,11.20%,0.00%,46.07%,14.10,9.30
2023-01-03T03,14.68%,27.66%,11.50%,0.00%,46.15%,13.78,9.08
2023-01-03T04,14.18%,27.08%,11.82%,0.00%,46.92%,13.36,8.80
2023-01-03T05,12.77%,23.86%,12.35%,0.00%,51.02%,11.95,7.88
2023-01-03T06,11.35%,19.78%,13.09%,0.00%,55.79%,10.42,6.89
2023-01-03T07,10.92%,16.35%,13.80%,0.00%,58.93%,9.64,6.41
2023-01-03T08,10.64%,15.15%,14.40%,0.00%,59.81%,9.28,6.18
2023-01-03T09,10.44%,15.57%,14.73%,0.00%,59.26%,9.21,6.13
2023-01-03T10,10.19%,16.30%,14.86%,0.00%,58.66%,9.14,6.07
2023-01-03T11,10.30%,18.37%,14.74%,0.00%,56.59%,9.51,6.28
2023-01-03T12,10.68%,22.65%,14.12%,0.00%,52.55%,10.38,6.80
2023-01-03T13,11.21%,30.06%,13.30%,0.00%,45.43%,11.80,7.65
2023-01-03T14,12.23%,34.51%,12.80%,0.00%,40.45%,13.12,8.48
2023-01-03T15,12.72%,33.64%,12.68%,0.00%,40.96%,13.32,8.64
2023-01-03T16,14.81%,35.03%,12.61%,0.00%,37.55%,14.92,9.73
2023-01-03T17,13.33%,35.16%,12.51%,0.00%,39.00%,13.95,9.05
2023-01-03T18,12.30%,34.89%,12.31%,0.00%,40.50%,13.22,8.54
2023-01-03T19,13.38%,35.90%,12.18%,0.00%,38.54%,14.09,9.13
2023-01-03T20,12.89%,36.42%,12.09%,0.00%,38.60%,13.83,8.94
2023-01-03T21,12.68%,36.37%,12.03%,0.00%,38.92%,13.69,8.84
2023-01-03T22,12.47%,37.46%,11.90%,0.00%,38.16%,13.71,8.83
2023-01-03T23,11.63%,40.23%,11.84%,0.00%,36.29%,13.54,8.66
2023-01-04T00,13.76%,48.82%,11.90%,0.00%,25.52%,16.19,10.34
2023-01-04T01,14.94%,50.70%,11.57%,0.00%,22.78%,17.25,11.05
2023-01-04T02,14.64%,47.97%,11.66%,0.00%,25.74%,16.66,10.69
2023-01-04T03,13.57%,46.32%,11.93%,0.00%,28.18%,15.71,10.06
2023-01-04T04,12.96%,44.27%,12.35%,0.00%,30.41%,15.01,9.61
2023-01-04T05,13.18%,43.04%,13.01%,0.00%,30.76%,14.98,9.61
2023-01-04T06,13.13%,41.37%,13.77%,0.00%,31.73%,14.71,9.45
2023-01-04T07,13.64%,37.96%,14.26%,0.00%,34.13%,14.56,9.42
2023-01-04T08,14.02%,33.54%,14.59%,0.00%,37.85%,14.18,9.24
2023-01-04T09,13.33%,32.59%,14.63%,0.00%,39.46%,13.58,8.84
2023-01-04T10,13.58%,33.46%,14.45%,0.00%,38.52%,13.87,9.03
2023-01-04T11,13.86%,36.02%,14.12%,0.00%,36.01%,14.42,9.36
2023-01-04T12,14.35%,37.98%,13.25%,0.00%,34.42%,15.04,9.75
2023-01-04T13,15.27%,41.97%,12.21%,0.00%,30.54%,16.22,10.50
2023-01-04T14,15.17%,42.63%,11.63%,0.00%,30.57%,16.25,10.50
2023-01-04T15,13.22%,37.47%,11.57%,0.00%,37.74%,14.21,9.18
2023-01-04T16,11.56%,31.59%,11.68%,0.00%,45.17%,12.26,7.94
2023-01-04T17,10.58%,27.76%,11.86%,0.00%,49.80%,11.05,7.17
2023-01-04T18,10.38%,25.66%,12.04%,0.00%,51.92%,10.62,6.91
2023-01-04T19,10.24%,27.00%,12.23%,0.00%,50.53%,10.72,6.95
2023-01-04T20,10.04%,27.45%,12.22%,0.00%,50.28%,10.65,6.89
2023-01-04T21,9.39%,27.18%,12.25%,0.00%,51.18%,10.17,6.57
2023-01-04T22,9.39%,28.64%,12.14%,0.00%,49.83%,10.38,6.69
2023-01-04T23,9.97%,35.34%,12.10%,0.00%,42.59%,11.73,7.50
2023-01-05T00,12.22%,53.42%,12.04%,0.00%,22.33%,15.82,9.99
2023-01-05T01,13.20%,59.42%,11.69%,0.00%,15.69%,17.34,10.93
2023-01-05T02,13.09%,56.48%,11.67%,0.00%,18.75%,16.85,10.65
2023-01-05T03,13.09%,54.18%,11.73%,0.00%,21.00%,16.52,10.46
2023-01-05T04,13.37%,54.40%,11.94%,0.00%,20.29%,16.73,10.61
2023-01-05T05,13.64%,54.27%,12.44%,0.00%,19.65%,16.90,10.73
2023-01-05T06,13.40%,52.85%,12.92%,0.00%,20.83%,16.53,10.50
2023-01-05T07,13.79%,52.47%,13.34%,0.00%,20.40%,16.74,10.65
2023-01-05T08,14.63%,54.51%,13.43%,0.00%,17.43%,17.59,11.21
2023-01-05T09,15.20%,57.56%,13.53%,0.00%,13.71%,18.41,11.72
2023-01-05T10,15.23%,58.82%,13.55%,0.00%,12.40%,18.61,11.83
2023-01-05T11,14.72%,61.20%,13.11%,0.00%,10.97%,18.61,11.79
2023-01-05T12,13.75%,63.70%,12.35%,0.00%,10.20%,18.32,11.53
2023-01-05T13,13.21%,67.43%,11.37%,0.00%,7.99%,18.50,11.58
2023-01-05T14,14.07%,68.98%,10.88%,0.00%,6.07%,19.30,12.11
2023-01-05T15,13.32%,64.59%,11.01%,0.00%,11.08%,18.16,11.41
2023-01-05T16,12.62%,55.97%,11.27%,0.00%,20.14%,16.46,10.39
2023-01-05T17,12.97%,54.02%,11.56%,0.00%,21.46%,16.41,10.39
2023-01-05T18,13.26%,52.41%,11.93%,0.00%,22.40%,16.38,10.40
2023-01-05T19,13.47%,51.17%,12.23%,0.00%,23.13%,16.34,10.40
2023-01-05T20,13.51%,49.76%,12.40%,0.00%,24.32%,16.16,10.31
2023-01-05T21,12.78%,48.35%,12.48%,0.00%,26.40%,15.47,9.85
2023-01-05T22,12.30%,47.15%,12.42%,0.00%,28.13%,14.98,9.53
2023-01-05T23,13.13%,51.48%,12.31%,0.00%,23.08%,16.15,10.26
2023-01-06T00,15.81%,58.62%,12.15%,0.00%,13.43%,18.97,12.09
2023-01-06T01,14.88%,57.01%,11.72%,0.00%,16.38%,18.12,11.53
2023-01-06T02,13.51%,49.48%,11.73%,0.00%,25.28%,16.12,10.28
2023-01-06T03,12.69%,39.91%,11.60%,0.00%,35.80%,14.20,9.13
2023-01-06T04,11.32%,28.99%,11.75%,0.00%,47.94%,11.72,7.62
2023-01-06T05,10.98%,21.62%,12.10%,0.00%,55.30%,10.44,6.86
2023-01-06T06,10.69%,17.48%,12.55%,0.00%,59.29%,9.65,6.39
2023-01-06T07,10.54%,15.35%,12.97%,0.00%,61.15%,9.24,6.15
2023-01-06T08,10.37%,15.21%,13.05%,0.00%,61.38%,9.11,6.06
2023-01-06T09,10.14%,15.01%,13.06%,0.00%,61.79%,8.93,5.94
2023-01-06T10,10.12%,15.90%,12.94%,0.00%,61.05%,9.04,6.00
2023-01-06T11,9.98%,16.91%,12.69%,0.00%,60.42%,9.09,6.02
2023-01-06T12,10.09%,19.43%,12.18%,0.00%,58.31%,9.53,6.27
2023-01-06T13,10.79%,24.33%,11.30%,0.00%,53.58%,10.70,6.99
2023-01-06T14,11.01%,24.59%,10.92%,0.00%,53.48%,10.88,7.12
2023-01-06T15,9.82%,21.84%,10.94%,0.00%,57.40%,9.69,6.34
2023-01-06T16,9.53%,20.60%,11.20%,0.00%,58.68%,9.32,6.10
2023-01-06T17,9.19%,18.44%,11.35%,0.00%,61.02%,8.79,5.77
2023-01-06T18,8.88%,17.11%,11.43%,0.00%,62.58%,8.39,5.52
2023-01-06T19,8.55%,16.80%,11.53%,0.00%,63.13%,8.12,5.34
2023-01-06T20,8.02%,16.97%,11.57%,0.00%,63.44%,7.79,5.11
2023-01-06T21,7.53%,17.01%,11.57%,0.00%,63.89%,7.47,4.88
2023-01-06T22,7.24%,17.70%,11.53%,0.00%,63.53%,7.38,4.80
2023-01-06T23,8.43%,23.29%,11.63%,0.00%,56.65%,8.98,5.81
2023-01-07T00,11.84%,32.07%,11.88%,0.00%,44.21%,12.51,8.10
2023-01-07T01,12.92%,32.32%,11.71%,0.00%,43.05%,13.27,8.63
2023-01-07T02,12.45%,29.67%,11.76%,0.00%,46.12%,12.57,8.20
2023-01-07T03,11.09%,26.26%,11.93%,0.00%,50.71%,11.18,7.29
2023-01-07T04,11.32%,22.42%,12.24%,0.00%,54.02%,10.78,7.08
2023-01-07T05,11.32%,21.92%,12.73%,0.00%,54.03%,10.71,7.04
2023-01-07T06,11.31%,21.94%,13.44%,0.00%,53.30%,10.71,7.04
2023-01-07T07,11.79%,25.66%,14.06%,0.00%,48.49%,11.56,7.56
2023-01-07T08,12.99%,25.73%,14.53%,0.00%,46.75%,12.37,8.13
2023-01-07T09,12.65%,25.74%,14.88%,0.00%,46.74%,12.14,7.97
2023-01-07T10,12.27%,27.41%,14.90%,0.00%,45.42%,12.13,7.93
2023-01-07T11,12.31%,28.04%,14.88%,0.00%,44.77%,12.24,8.00
2023-01-07T12,11.98%,29.06%,14.63%,0.00%,44.33%,12.17,7.93
2023-01-07T13,11.91%,31.85%,14.21%,0.00%,42.04%,12.52,8.12
2023-01-07T14,12.36%,34.00%,13.89%,0.00%,39.75%,13.13,8.50
2023-01-07T15,12.57%,34.97%,13.46%,0.00%,38.99%,13.42,8.68
2023-01-07T16,11.83%,33.33%,12.80%,0.00%,42.04%,12.69,8.20
2023-01-07T17,11.56%,36.94%,12.45%,0.00%,39.05%,13.02,8.36
2023-01-07T18,11.57%,39.37%,12.33%,0.00%,36.73%,13.38,8.56
2023-01-07T19,11.97%,41.77%,12.26%,0.00%,34.00%,13.99,8.94
2023-01-07T20,12.05%,44.05%,12.29%,0.00%,31.60%,14.37,9.17
2023-01-07T21,11.79%,45.93%,12.30%,0.00%,29.99%,14.46,9.19
2023-01-07T22,12.01%,47.47%,12.26%,0.00%,28.25%,14.84,9.42
2023-01-07T23,12.34%,51.35%,12.23%,0.00%,24.08%,15.61,9.88
2023-01-08T00,14.20%,56.30%,12.12%,0.00%,17.39%,17.56,11.15
2023-01-08T01,15.43%,55.72%,11.86%,0.00%,16.99%,18.30,11.68
2023-01-08T02,15.28%,56.46%,12.00%,0.00%,16.26%,18.31,11.67
2023-01-08T03,15.60%,56.46%,12.22%,0.00%,15.73%,18.52,11.82
2023-01-08T04,15.26%,55.72%,12.49%,0.00%,16.53%,18.19,11.60
2023-01-08T05,14.18%,54.33%,12.83%,0.00%,18.65%,17.27,10.99
2023-01-08T06,13.96%,55.35%,13.28%,0.00%,17.41%,17.26,10.96
2023-01-08T07,14.49%,55.32%,13.80%,0.00%,16.38%,17.62,11.21
2023-01-08T08,14.75%,56.15%,14.19%,0.00%,14.92%,17.91,11.40
2023-01-08T09,14.58%,55.98%,14.49%,0.00%,14.94%,17.77,11.30
2023-01-08T10,13.56%,54.23%,14.62%,0.00%,17.60%,16.83,10.68
2023-01-08T11,13.08%,53.28%,14.51%,0.00%,19.12%,16.38,10.39
2023-01-08T12,12.78%,52.24%,14.21%,0.00%,20.76%,16.03,10.16
2023-01-08T13,12.80%,54.27%,13.72%,0.00%,19.21%,16.33,10.33
2023-01-08T14,13.46%,55.18%,13.24%,0.00%,18.12%,16.91,10.71
2023-01-08T15,12.87%,52.38%,12.75%,0.00%,22.01%,16.11,10.21
2023-01-08T16,10.67%,46.13%,12.56%,0.00%,30.64%,13.75,8.69
2023-01-08T17,11.47%,47.70%,12.67%,0.00%,28.16%,14.50,9.18
2023-01-08T18,11.71%,48.12%,12.82%,0.00%,27.35%,14.73,9.33
2023-01-08T19,11.81%,48.44%,13.03%,0.00%,26.72%,14.84,9.41
2023-01-08T20,11.35%,47.23%,13.15%,0.00%,28.26%,14.36,9.09
2023-01-08T21,11.25%,46.58%,13.18%,0.00%,28.99%,14.20,8.99
2023-01-08T22,10.84%,45.47%,13.09%,0.00%,30.60%,13.76,8.71
2023-01-08T23,11.33%,49.44%,13.06%,0.00%,26.17%,14.66,9.26
2023-01-09T00,13.46%,57.62%,12.75%,0.00%,16.16%,17.26,10.91
2023-01-09T01,13.47%,52.98%,12.20%,0.00%,21.34%,16.60,10.55
2023-01-09T02,11.92%,45.81%,12.09%,0.00%,30.18%,14.54,9.25
2023-01-09T03,10.21%,41.33%,12.09%,0.00%,36.37%,12.75,8.09
2023-01-09T04,10.03%,35.35%,12.26%,0.00%,42.37%,11.77,7.52
2023-01-09T05,10.02%,29.39%,12.69%,0.00%,47.89%,10.91,7.04
2023-01-09T06,9.67%,27.56%,13.16%,0.00%,49.61%,10.41,6.73
2023-01-09T07,8.91%,26.65%,13.36%,0.00%,51.09%,9.77,6.30
2023-01-09T08,8.55%,26.68%,13.50%,0.00%,51.28%,9.54,6.13
2023-01-09T09,8.34%,26.86%,13.53%,0.00%,51.27%,9.43,6.05
2023-01-09T10,8.84%,27.44%,13.30%,0.00%,50.41%,9.85,6.33
2023-01-09T11,9.85%,29.59%,12.91%,0.00%,47.64%,10.83,6.98
2023-01-09T12,9.43%,33.93%,12.17%,0.00%,44.47%,11.17,7.13
2023-01-09T13,9.07%,39.46%,11.12%,0.00%,40.36%,11.72,7.40
2023-01-09T14,9.59%,41.13%,10.69%,0.00%,38.58%,12.31,7.78
2023-01-09T15,9.56%,36.33%,10.82%,0.00%,43.29%,11.59,7.38
2023-01-09T16,9.10%,31.89%,11.18%,0.00%,47.84%,10.65,6.81
2023-01-09T17,9.08%,35.99%,11.55%,0.00%,43.38%,11.23,7.13
2023-01-09T18,9.46%,37.53%,11.94%,0.00%,41.06%,11.70,7.43
2023-01-09T19,10.12%,40.86%,12.28%,0.00%,36.75%,12.62,8.00
2023-01-09T20,10.74%,41.82%,12.44%,0.00%,35.00%,13.18,8.37
2023-01-09T21,10.59%,42.18%,12.49%,0.00%,34.73%,13.13,8.33
2023-01-09T22,10.79%,44.73%,12.40%,0.00%,32.09%,13.62,8.63
2023-01-09T23,11.77%,52.19%,12.33%,0.00%,23.71%,15.35,9.69
2023-01-10T00,14.42%,63.24%,12.21%,0.00%,10.14%,18.70,11.81
2023-01-10T01,15.55%,63.60%,11.84%,0.00%,9.02%,19.51,12.37
2023-01-10T02,15.29%,60.64%,11.92%,0.00%,12.14%,18.92,12.01
2023-01-10T03,14.65%,57.76%,12.12%,0.00%,15.46%,18.08,11.48
2023-01-10T04,12.69%,53.01%,12.56%,0.00%,21.74%,16.08,10.18
2023-01-10T05,11.87%,43.42%,13.11%,0.00%,31.61%,14.16,9.03
2023-01-10T06,11.17%,34.67%,13.65%,0.00%,40.51%,12.43,8.00
2023-01-10T07,11.65%,27.85%,14.05%,0.00%,46.45%,11.78,7.67
2023-01-10T08,11.38%,22.72%,14.33%,0.00%,51.57%,10.86,7.14
2023-01-10T09,10.96%,22.20%,14.31%,0.00%,52.53%,10.51,6.90
2023-01-10T10,10.91%,22.12%,14.18%,0.00%,52.80%,10.46,6.87
2023-01-10T11,10.57%,21.97%,13.79%,0.00%,53.67%,10.21,6.70
2023-01-10T12,10.79%,25.09%,13.06%,0.00%,51.06%,10.81,7.05
2023-01-10T13,11.11%,28.32%,12.11%,0.00%,48.45%,11.49,7.46
2023-01-10T14,11.88%,29.16%,11.82%,0.00%,47.14%,12.12,7.89
2023-01-10T15,11.63%,27.04%,11.89%,0.00%,49.45%,11.65,7.60
2023-01-10T16,11.28%,25.50%,12.02%,0.00%,51.21%,11.19,7.31
2023-01-10T17,10.89%,23.69%,12.09%,0.00%,53.33%,10.67,6.99
2023-01-10T18,10.07%,22.57%,12.08%,0.00%,55.28%,9.97,6.51
2023-01-10T19,9.87%,23.38%,11.94%,0.00%,54.80%,9.95,6.49
2023-01-10T20,10.14%,23.43%,11.72%,0.00%,54.72%,10.13,6.62
2023-01-10T21,10.63%,23.88%,11.56%,0.00%,53.93%,10.53,6.88
2023-01-10T22,10.72%,25.76%,11.43%,0.00%,52.10%,10.86,7.07
2023-01-10T23,10.80%,30.05%,11.38%,0.00%,47.77%,11.53,7.46
2023-01-11T00,12.92%,37.82%,11.56%,0.00%,37.70%,14.05,9.07
2023-01-11T01,12.34%,35.75%,11.38%,0.00%,40.53%,13.37,8.63
2023-01-11T02,10.71%,30.10%,11.41%,0.00%,47.78%,11.47,7.42
2023-01-11T03,10.06%,25.54%,11.63%,0.00%,52.77%,10.38,6.75
2023-01-11T04,10.94%,23.05%,12.06%,0.00%,53.95%,10.62,6.96
2023-01-11T05,11.47%,19.10%,12.80%,0.00%,56.63%,10.41,6.89
2023-01-11T06,11.44%,16.43%,13.58%,0.00%,58.55%,10.00,6.66
2023-01-11T07,11.25%,15.01%,14.11%,0.00%,59.63%,9.67,6.46
2023-01-11T08,11.33%,15.02%,14.42%,0.00%,59.23%,9.73,6.50
2023-01-11T09,11.36%,15.83%,14.65%,0.00%,58.16%,9.86,6.57
2023-01-11T10,11.72%,16.20%,14.76%,0.00%,57.32%,10.16,6.77
2023-01-11T11,11.66%,17.90%,14.53%,0.00%,55.91%,10.36,6.88
2023-01-11T12,11.59%,20.57%,13.92%,0.00%,53.92%,10.69,7.06
2023-01-11T13,12.59%,24.32%,12.82%,0.00%,50.26%,11.90,7.83
2023-01-11T14,13.60%,24.78%,12.30%,0.00%,49.32%,12.64,8.34
2023-01-11T15,11.64%,20.24%,12.06%,0.00%,56.05%,10.68,7.06
2023-01-11T16,10.50%,19.05%,11.91%,0.00%,58.54%,9.75,6.43
2023-01-11T17,10.51%,22.67%,11.87%,0.00%,54.95%,10.27,6.73
2023-01-11T18,10.12%,19.80%,11.68%,0.00%,58.40%,9.60,6.31
2023-01-11T19,8.44%,18.33%,11.25%,0.00%,61.98%,8.27,5.41
2023-01-11T20,8.22%,19.58%,11.07%,0.00%,61.13%,8.30,5.41
2023-01-11T21,8.47%,21.86%,10.97%,0.00%,58.70%,8.80,5.71
2023-01-11T22,8.43%,22.78%,10.90%,0.00%,57.89%,8.90,5.77
2023-01-11T23,8.34%,24.07%,10.80%,0.00%,56.79%,9.03,5.83
2023-01-12T00,9.15%,26.03%,10.78%,0.00%,54.04%,9.85,6.36
2023-01-12T01,9.53%,26.16%,10.69%,0.00%,53.63%,10.12,6.55
2023-01-12T02,9.38%,24.40%,10.82%,0.00%,55.40%,9.77,6.34
2023-01-12T03,9.01%,23.15%,11.06%,0.00%,56.78%,9.34,6.07
2023-01-12T04,9.28%,21.77%,11.47%,0.00%,57.48%,9.32,6.08
2023-01-12T05,9.03%,17.80%,12.21%,0.00%,60.96%,8.59,5.65
2023-01-12T06,8.83%,15.24%,13.00%,0.00%,62.93%,8.09,5.35
2023-01-12T07,8.24%,14.92%,13.61%,0.00%,63.22%,7.65,5.05
2023-01-12T08,8.20%,14.87%,14.11%,0.00%,62.82%,7.61,5.02
2023-01-12T09,8.16%,14.19%,14.31%,0.00%,63.34%,7.49,4.95
2023-01-12T10,8.19%,14.90%,14.35%,0.00%,62.56%,7.61,5.02
2023-01-12T11,8.61%,15.89%,14.14%,0.00%,61.36%,8.03,5.30
2023-01-12T12,8.54%,15.99%,13.42%,0.00%,62.04%,8.00,5.27
2023-01-12T13,9.86%,19.18%,12.31%,0.00%,58.66%,9.34,6.14
2023-01-12T14,10.36%,19.94%,11.78%,0.00%,57.93%,9.78,6.44
2023-01-12T15,10.48%,18.15%,11.63%,0.00%,59.73%,9.61,6.35
2023-01-12T16,9.58%,16.10%,11.46%,0.00%,62.87%,8.71,5.77
2023-01-12T17,7.86%,16.46%,11.49%,0.00%,64.20%,7.61,4.99
2023-01-12T18,7.29%,16.97%,11.61%,0.00%,64.12%,7.30,4.77
2023-01-12T19,7.10%,17.56%,11.75%,0.00%,63.60%,7.26,4.72
2023-01-12T20,6.94%,18.69%,11.86%,0.00%,62.52%,7.32,4.74
2023-01-12T21,6.98%,21.33%,11.93%,0.00%,59.76%,7.72,4.97
2023-01-12T22,7.00%,25.62%,12.02%,0.00%,55.36%,8.35,5.32
2023-01-12T23,7.01%,32.40%,12.01%,0.00%,48.57%,9.33,5.88
2023-01-13T00,9.10%,46.20%,11.65%,0.00%,33.05%,12.71,7.96
2023-01-13T01,13.00%,53.82%,11.17%,0.00%,22.01%,16.40,10.39
2023-01-13T02,14.14%,54.43%,11.13%,0.00%,20.30%,17.25,10.97
2023-01-13T03,14.51%,56.29%,11.22%,0.00%,17.98%,17.77,11.30
2023-01-13T04,14.91%,56.75%,11.43%,0.00%,16.91%,18.10,11.52
2023-01-13T05,15.31%,56.48%,11.91%,0.00%,16.29%,18.33,11.69
2023-01-13T06,14.12%,57.07%,12.37%,0.00%,16.44%,17.62,11.18
2023-01-13T07,13.50%,57.47%,12.60%,0.00%,16.43%,17.26,10.92
2023-01-13T08,14.38%,57.32%,12.68%,0.00%,15.62%,17.83,11.32
2023-01-13T09,14.81%,57.23%,12.69%,0.00%,15.26%,18.11,11.51
2023-01-13T10,14.63%,57.81%,12.56%,0.00%,15.00%,18.07,11.47
2023-01-13T11,14.26%,58.42%,12.15%,0.00%,15.17%,17.91,11.35
2023-01-13T12,14.05%,59.89%,11.40%,0.00%,14.65%,17.98,11.37
2023-01-13T13,13.69%,61.03%,10.51%,0.00%,14.77%,17.90,11.29
2023-01-13T14,13.31%,61.26%,10.02%,0.00%,15.41%,17.68,11.14
2023-01-13T15,12.88%,56.29%,10.16%,0.00%,20.67%,16.68,10.53
2023-01-13T16,11.49%,50.71%,10.51%,0.00%,27.29%,14.95,9.44
2023-01-13T17,11.34%,48.96%,10.89%,0.00%,28.82%,14.60,9.23
2023-01-13T18,11.16%,47.42%,11.35%,0.00%,30.07%,14.26,9.02
2023-01-13T19,10.98%,46.80%,11.89%,0.00%,30.34%,14.05,8.88
2023-01-13T20,10.89%,46.16%,12.17%,0.00%,30.78%,13.90,8.79
2023-01-13T21,11.02%,44.17%,12.41%,0.00%,32.40%,13.69,8.69
2023-01-13T22,11.11%,43.34%,12.53%,0.00%,33.02%,13.64,8.67
2023-01-13T23,11.41%,47.27%,12.53%,0.00%,28.80%,14.40,9.12
2023-01-14T00,13.79%,58.06%,12.14%,0.00%,16.02%,17.54,11.10
2023-01-14T01,14.87%,55.78%,11.70%,0.00%,17.66%,17.93,11.42
2023-01-14T02,12.71%,49.44%,11.58%,0.00%,26.27%,15.58,9.90
2023-01-14T03,11.33%,44.11%,11.47%,0.00%,33.09%,13.89,8.83
2023-01-14T04,10.71%,39.07%,11.45%,0.00%,38.78%,12.76,8.14
2023-01-14T05,10.65%,33.96%,11.56%,0.00%,43.83%,11.99,7.70
2023-01-14T06,10.68%,30.42%,11.75%,0.00%,47.16%,11.50,7.43
2023-01-14T07,10.45%,29.23%,11.92%,0.00%,48.40%,11.18,7.23
2023-01-14T08,10.58%,29.19%,11.98%,0.00%,48.25%,11.26,7.28
2023-01-14T09,10.61%,29.15%,11.96%,0.00%,48.29%,11.27,7.29
2023-01-14T10,10.85%,28.85%,11.88%,0.00%,48.43%,11.38,7.38
2023-01-14T11,11.20%,29.58%,11.65%,0.00%,47.57%,11.72,7.60
2023-01-14T12,10.92%,30.83%,11.34%,0.00%,46.90%,11.72,7.58
2023-01-14T13,11.22%,32.64%,10.87%,0.00%,45.26%,12.18,7.86
2023-01-14T14,11.90%,33.12%,10.44%,0.00%,44.54%,12.70,8.22
2023-01-14T15,11.35%,30.51%,10.36%,0.00%,47.77%,11.96,7.75
2023-01-14T16,10.29%,27.86%,10.72%,0.00%,51.12%,10.87,7.04
2023-01-14T17,10.06%,24.59%,11.16%,0.00%,54.19%,10.25,6.67
2023-01-14T18,9.56%,21.03%,11.69%,0.00%,57.72%,9.40,6.15
